"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
22.310484375,19.99100390625,15.317703125,15.66073046875,13.734890625,19.1209296875,7.35115625,13.91426171875,18.31028515625,17.79509375,21.0061796875,12.6135546875,33.07453125,16.3791328125,22.29069140625,16.97491796875,10.4339453125,15.10298828125,18.50312890625,17.515265625,23.60590234375,14.6478984375,18.875015625,20.55068359375,12.79796875,11.01196484375,17.8391015625,17.18440625,15.0984453125,11.3134453125
22.638484375,21.17400390625,16.550703125,14.98673046875,13.333890625,18.4009296875,8.07315625,15.01526171875,17.40228515625,15.50309375,18.8051796875,11.2245546875,32.96353125,13.9181328125,18.55869140625,14.02391796875,10.3549453125,12.54498828125,14.84312890625,13.799265625,20.63590234375,12.4458984375,15.671015625,16.42668359375,8.10496875,8.75296484375,13.2411015625,13.44840625,11.3864453125,6.9934453125
23.344484375,22.63900390625,18.220703125,14.38773046875,13.316890625,18.1859296875,9.10515625,16.73126171875,16.64028515625,14.14209375,17.6851796875,11.6315546875,32.33553125,11.7781328125,15.88269140625,12.60691796875,11.0999453125,9.85998828125,11.79512890625,10.853265625,18.80190234375,9.8128984375,12.313015625,12.50668359375,4.35096875,6.82296484375,8.6961015625,9.12140625,7.4794453125,2.8624453125
24.201484375,23.98100390625,19.847703125,13.87173046875,13.632890625,18.4309296875,10.29415625,18.88826171875,16.06028515625,13.84609375,17.7261796875,13.6765546875,31.06153125,10.2671328125,14.50369140625,12.83691796875,12.6659453125,7.29198828125,9.63112890625,9.022265625,18.30790234375,7.0128984375,9.112015625,9.12268359375,1.85696875,5.35096484375,4.5181015625,4.48640625,3.5734453125,-0.7425546875
24.861484375,24.68600390625,20.771703125,13.46473046875,14.106890625,18.9279296875,11.34415625,21.03426171875,15.66328515625,14.49209375,18.6931796875,16.5575546875,29.19353125,9.7491328125,14.41869140625,14.38191796875,14.6929453125,5.30798828125,8.57212890625,8.535265625,19.08490234375,4.6268984375,6.635015625,6.73768359375,0.815968750000001,4.44396484375,1.2461015625,0.255406249999999,0.145445312500001,-3.3325546875
25.098484375,24.51300390625,20.604703125,13.20373046875,14.533890625,19.4239296875,11.95315625,22.65426171875,15.41728515625,15.76809375,20.1591796875,19.2385546875,27.00353125,10.5211328125,15.39169140625,16.66491796875,16.5599453125,4.44198828125,8.72512890625,9.402265625,20.84990234375,3.3278984375,5.494015625,5.79068359375,1.26396875,4.15896484375,-0.512898437500001,-2.66859375,-2.1605546875,-4.4405546875
24.946484375,23.67900390625,19.483703125,13.09973046875,14.738890625,19.7149296875,11.93515625,23.39026171875,15.28328515625,17.26709375,21.6591796875,20.9035546875,24.94453125,12.6131328125,17.00469140625,19.05591796875,17.6459453125,5.06198828125,9.99612890625,11.358265625,23.16990234375,3.5828984375,6.059015625,6.48668359375,3.03096875,4.48296484375,-0.3208984375,-3.54859375,-2.7655546875,-3.8325546875
24.620484375,22.70900390625,17.974703125,13.10873046875,14.629890625,19.6649296875,11.26215625,23.16226171875,15.27828515625,18.56909375,22.7791796875,21.2115546875,23.52053125,15.6061328125,18.71569140625,20.98791796875,17.6149453125,7.15998828125,12.03112890625,13.871265625,25.52390234375,5.4328984375,8.255015625,8.65368359375,5.70996875,5.32196484375,1.8611015625,-2.10559375,-1.4125546875,-1.6355546875
24.317484375,22.07500390625,16.706703125,13.13973046875,14.204890625,19.1939296875,10.04115625,22.12726171875,15.48928515625,19.29909375,23.2051796875,20.2975546875,23.08353125,18.6151328125,19.96869140625,21.99991796875,16.5689453125,10.27898828125,14.26012890625,16.268265625,27.38390234375,8.4678984375,11.545015625,11.73868359375,8.71796875,6.52896484375,5.6021015625,1.39940625,1.7244453125,1.7114453125
24.042484375,21.90400390625,16.026703125,13.10273046875,13.519890625,18.2759296875,8.48015625,20.52026171875,16.00128515625,19.20209375,22.7741796875,18.5925546875,23.67153125,20.5581328125,20.34469140625,21.80491796875,14.9969453125,13.64798828125,16.05612890625,17.928265625,28.34690234375,12.0138984375,15.126015625,14.99368359375,11.44296875,7.95196484375,10.1271015625,6.30440625,6.1184453125,5.6414453125
