"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-3.5158671875,-1.71378515625,-2.6213359375,-11.79450390625,-8.35223828125,-8.63598046875,-7.0146328125,-3.52529296875,-1.9059140625,-7.979421875,-2.9340703125,-6.3388671875,-7.9933125,-7.4937265625,-3.5508984375,-2.70031640625,-2.23012890625,-3.95338671875,-15.2654921875,-3.5824375,3.51205859375,2.52618359375,-2.23673828125,-7.0081953125,-3.1910078125,-2.6770546875,-5.70100390625,-2.81038671875,-1.6100078125,4.8643828125
-9.9898671875,-8.88378515625,-8.4433359375,-12.39450390625,-8.93123828125,-9.73998046875,-10.7026328125,-6.45029296875,-2.6639140625,-12.054421875,-6.5700703125,-9.3518671875,-7.9193125,-10.5577265625,-7.2168984375,-8.47631640625,-6.69012890625,-6.77038671875,-16.2804921875,-8.0964375,-1.26094140625,0.18818359375,-5.86873828125,-10.7361953125,-8.0030078125,-6.9000546875,-5.90000390625,-6.69438671875,-6.5450078125,-0.7516171875
-13.5918671875,-13.43878515625,-12.2733359375,-12.28050390625,-9.80523828125,-11.22498046875,-13.9436328125,-8.93129296875,-3.9789140625,-15.487421875,-9.7770703125,-11.8868671875,-6.4813125,-12.9017265625,-10.5158984375,-12.89931640625,-9.58612890625,-8.62738671875,-17.6024921875,-11.7754375,-4.71894140625,-0.86381640625,-8.50173828125,-13.3891953125,-11.5120078125,-9.5000546875,-6.45500390625,-8.38138671875,-9.8250078125,-4.7086171875
-14.3148671875,-15.22578515625,-13.9933359375,-11.47350390625,-10.86623828125,-12.90198046875,-16.4706328125,-10.66729296875,-5.6259140625,-18.066421875,-12.2400703125,-13.7498671875,-4.2613125,-14.3877265625,-13.1028984375,-15.71431640625,-10.76612890625,-9.50438671875,-18.9514921875,-14.3594375,-6.78994140625,-0.74781640625,-9.96473828125,-14.7891953125,-13.6200078125,-10.6150546875,-7.05900390625,-7.86538671875,-11.2610078125,-6.8706171875
-13.0408671875,-14.83478515625,-14.0483359375,-10.25450390625,-11.84523828125,-14.38498046875,-17.9966328125,-11.44029296875,-7.1349140625,-19.654421875,-13.6610703125,-14.8248671875,-2.4283125,-15.0237265625,-14.5978984375,-16.95531640625,-10.58912890625,-9.64938671875,-19.8574921875,-15.7114375,-7.73694140625,-0.05881640625,-10.33473828125,-14.9941953125,-14.5390078125,-10.8810546875,-7.27200390625,-5.88438671875,-11.1240078125,-7.5246171875
-11.0148671875,-13.20378515625,-13.1353359375,-9.01050390625,-12.41723828125,-15.28398046875,-18.3096328125,-11.22829296875,-8.0149140625,-20.189421875,-13.8890703125,-15.1288671875,-2.0423125,-14.8997265625,-14.7478984375,-16.83731640625,-9.75012890625,-9.38938671875,-19.8864921875,-15.8104375,-7.93994140625,0.46518359375,-9.86073828125,-14.2051953125,-14.5760078125,-11.0100546875,-6.79900390625,-3.53338671875,-9.9660078125,-7.1366171875
-9.3138671875,-11.23278515625,-11.8993359375,-8.05150390625,-12.33723828125,-15.37698046875,-17.4066328125,-10.21929296875,-7.9619140625,-19.723421875,-13.0320703125,-14.8218671875,-3.4303125,-14.1537265625,-13.5738984375,-15.67131640625,-9.00412890625,-8.98738671875,-18.8354921875,-14.7664375,-7.70194140625,0.30718359375,-8.87173828125,-12.6941953125,-13.9810078125,-11.4180546875,-5.65200390625,-1.79338671875,-8.3950078125,-6.1396171875
-8.5158671875,-9.56478515625,-10.7533359375,-7.45750390625,-11.56023828125,-14.69898046875,-15.5846328125,-8.73129296875,-6.9399140625,-18.473421875,-11.4660703125,-14.1658671875,-5.9803125,-12.9837265625,-11.4348984375,-13.83431640625,-8.90712890625,-8.59538671875,-16.8184921875,-12.8644375,-7.19794140625,-0.61781640625,-7.71673828125,-10.7931953125,-12.9380078125,-12.1200546875,-4.12300390625,-1.19538671875,-6.9060078125,-4.8596171875
-8.6388671875,-8.54378515625,-9.8813359375,-7.07550390625,-10.28223828125,-13.50698046875,-13.3696328125,-7.11729296875,-5.1869140625,-16.821421875,-9.7220703125,-13.4438671875,-8.4623125,-11.6697265625,-8.9498984375,-11.75731640625,-9.65012890625,-8.31038671875,-14.2524921875,-10.5784375,-6.53594140625,-2.01781640625,-6.71873828125,-8.9071953125,-11.6580078125,-12.8630546875,-2.68300390625,-1.75038671875,-5.7960078125,-3.5606171875
-9.2838671875,-8.24778515625,-9.3163359375,-6.66050390625,-8.87223828125,-12.17598046875,-11.3166328125,-5.70529296875,-3.1269140625,-15.203421875,-8.3060703125,-12.8608671875,-9.7203125,-10.5427265625,-6.7988984375,-9.87031640625,-11.02012890625,-8.22738671875,-11.7774921875,-8.4884375,-5.84194140625,-3.46081640625,-6.12873828125,-7.4751953125,-10.4410078125,-13.3700546875,-1.86700390625,-3.07838671875,-5.1700078125,-2.5136171875
