"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
7.396171875,8.8761875,8.26944921875,13.74016015625,5.56245703125,2.23238671875,7.92585546875,6.194125,2.00393359375,5.0966171875,4.17095703125,4.830546875,14.89717578125,4.4034921875,-0.521507812499999,4.47560546875,16.83931640625,9.69634765625,3.74751953125,4.70691015625,4.20091015625,7.2344609375,10.82074609375,12.522875,3.4190390625,11.89726171875,22.31720703125,18.934640625,4.182296875,0.0638593750000003
-6.102828125,-5.0728125,-3.80855078125,2.01816015625,-6.57954296875,-8.16661328125,-5.53214453125,-3.971875,-3.73606640625,-7.5963828125,-7.90604296875,-5.893453125,4.15917578125,-6.5155078125,-12.4305078125,-7.95739453125,5.58431640625,-0.78965234375,-5.90048046875,-6.63408984375,-3.91308984375,1.1894609375,0.65374609375,1.267875,-4.7359609375,5.32926171875,13.95920703125,11.218640625,1.181296875,-3.160140625
-14.606828125,-13.7238125,-10.46255078125,-4.66583984375,-14.17454296875,-14.47361328125,-13.50114453125,-8.255875,-7.65006640625,-15.2713828125,-14.94504296875,-11.349453125,-3.49682421875,-12.8415078125,-19.2935078125,-14.68839453125,-1.49168359375,-6.55865234375,-11.65248046875,-12.86108984375,-7.70708984375,-1.8565390625,-4.90425390625,-4.836125,-8.7799609375,1.72026171875,9.41520703125,6.021640625,-0.483703125,-4.582140625
-18.130828125,-16.9928125,-11.77555078125,-6.76383984375,-17.11854296875,-16.52261328125,-15.64714453125,-6.935875,-9.79606640625,-17.9013828125,-16.67204296875,-11.276453125,-8.19082421875,-14.6135078125,-20.9465078125,-15.55939453125,-4.64668359375,-7.64965234375,-13.43648046875,-13.84408984375,-7.17308984375,-2.1595390625,-5.92325390625,-5.763125,-8.6959609375,0.79526171875,8.63720703125,3.424640625,-0.873703125,-4.245140625
-17.945828125,-16.1488125,-9.32655078125,-6.11083984375,-16.41654296875,-15.21561328125,-13.17314453125,-2.105875,-10.54306640625,-16.7363828125,-14.19804296875,-7.035453125,-10.64182421875,-13.0655078125,-18.5815078125,-12.03639453125,-5.14268359375,-5.39265234375,-12.21648046875,-10.84908984375,-3.50608984375,-0.7805390625,-3.72825390625,-2.912125,-5.5919609375,1.48926171875,10.56620703125,3.069640625,-0.257703125,-2.599140625
-15.533828125,-12.8538125,-5.15155078125,-4.54283984375,-13.41454296875,-11.90361328125,-8.13914453125,3.551125,-10.21906640625,-13.4263828125,-9.35104296875,-0.937453125,-11.41982421875,-9.8145078125,-13.9865078125,-6.37239453125,-4.26368359375,-1.60865234375,-9.36848046875,-5.77108984375,1.56391015625,1.0674609375,-0.0692539062500002,1.751875,-1.0459609375,2.64626171875,13.78220703125,4.486640625,1.085296875,-0.232140625
-11.932828125,-8.5598125,-1.00555078125,-2.96783984375,-9.37754296875,-7.93861328125,-2.82214453125,7.841125,-9.07206640625,-9.4623828125,-4.10504296875,4.507546875,-10.71782421875,-6.3355078125,-8.9795078125,-0.86639453125,-2.82868359375,1.96534765625,-6.21548046875,-0.54308984375,6.23091015625,2.3664609375,3.44474609375,6.347875,3.3260390625,3.43126171875,16.89320703125,7.023640625,2.760296875,2.190859375
-7.683828125,-4.3158125,2.00144921875,-1.26383984375,-5.35254296875,-4.42661328125,0.89385546875,9.665125,-7.31706640625,-5.9263828125,-0.0870429687500005,7.355546875,-8.57582421875,-3.6585078125,-4.9955078125,2.73160546875,-1.20868359375,4.09334765625,-3.72048046875,3.30891015625,9.00191015625,2.4724609375,5.72274609375,9.531875,6.2120390625,3.49926171875,18.81520703125,9.773640625,4.217296875,4.055859375
-3.127828125,-0.7618125,3.50244921875,1.18616015625,-2.06854296875,-2.04861328125,2.08585546875,9.122125,-5.07306640625,-3.3603828125,1.84795703125,6.871546875,-5.21782421875,-2.1625078125,-2.7755078125,3.69160546875,0.48231640625,4.36834765625,-2.26548046875,5.02291015625,9.11591015625,1.2704609375,6.44874609375,10.811875,6.9500390625,3.05926171875,19.07320703125,11.837640625,5.002296875,5.074859375
1.232171875,1.7591875,3.72244921875,4.75216015625,0.12445703125,-0.99861328125,1.00485546875,7.157125,-2.34106640625,-1.8233828125,1.75695703125,3.720546875,-1.26182421875,-1.6275078125,-2.3085078125,2.38860546875,2.18231640625,3.21834765625,-1.66848046875,4.70091015625,6.79291015625,-0.8385390625,6.02874609375,10.522875,5.6660390625,2.68626171875,17.89820703125,12.675640625,5.014296875,5.413859375
