"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
0.324371093750001,1.71561328125,-1.07333203125,-8.20334765625,-4.219875,2.15064453125,-3.2751171875,-0.55631640625,13.97134765625,0.09191015625,-1.09876953125,1.39426171875,7.49575,-6.02967578125,-1.0585625,-2.2446328125,3.98591015625,6.04255078125,-1.44806640625,-2.22474609375,-0.842546875,6.94208984375,0.5585078125,-1.4167578125,-3.19036328125,13.09384375,-6.3865703125,3.99918359375,-5.2809921875,-2.04019921875
0.89437109375,1.87061328125,0.0476679687499999,-5.40134765625,-2.953875,5.59264453125,-0.407117187500001,2.28368359375,13.28334765625,1.77391015625,-0.52976953125,0.826261718750001,15.01875,-5.09067578125,-0.2425625,-0.841632812499999,1.00491015625,8.59955078125,0.0169335937499993,-0.77074609375,-0.274546875,7.55408984375,2.4255078125,1.0402421875,-2.33936328125,11.83884375,-4.9595703125,4.41018359375,-4.4399921875,-1.51819921875
0.302371093750001,1.47461328125,0.0956679687499999,-3.24534765625,-2.209875,7.23664453125,0.5598828125,3.16268359375,11.91134765625,2.37991015625,-0.99076953125,-0.73273828125,18.53775,-4.39567578125,-0.3015625,-0.7716328125,-1.31608984375,10.27155078125,0.79993359375,-0.52574609375,-0.648546875,8.11908984375,3.4015078125,2.2992421875,-2.47436328125,10.18484375,-4.3975703125,4.57818359375,-4.0269921875,-1.44619921875
-1.12462890625,0.63061328125,-0.75233203125,-1.89834765625,-1.978875,7.22964453125,-0.2411171875,2.19068359375,10.41134765625,1.97591015625,-2.31176953125,-2.94373828125,17.96375,-3.89967578125,-1.1145625,-1.9256328125,-2.96908984375,11.02755078125,0.902933593749999,-1.44174609375,-2.003546875,8.67208984375,3.4475078125,2.2882421875,-3.56236328125,8.31484375,-4.8125703125,4.50318359375,-4.1219921875,-1.77119921875
-2.64862890625,-0.35238671875,-1.92333203125,-1.38834765625,-2.095875,6.26564453125,-2.0431171875,0.14968359375,9.66734765625,0.972910156249999,-3.92676953125,-5.03073828125,14.39275,-3.51167578125,-2.2455625,-3.7036328125,-4.05608984375,11.06455078125,0.51293359375,-3.05174609375,-4.019546875,9.21508984375,2.8025078125,1.2922421875,-5.20636328125,6.57484375,-6.0535703125,4.24818359375,-4.6859921875,-2.30919921875
-3.59962890625,-1.13238671875,-2.77933203125,-1.59234765625,-2.341875,5.17464453125,-3.8651171875,-1.92131640625,10.37534765625,-0.11808984375,-5.16976953125,-6.20973828125,9.41075,-3.20367578125,-3.1955625,-5.3156328125,-4.68508984375,10.65455078125,-0.158066406250001,-4.70574609375,-6.118546875,9.68408984375,1.8425078125,-0.2187578125,-6.83936328125,5.28484375,-7.7635703125,3.90118359375,-5.5819921875,-2.89619921875
-3.77662890625,-1.54338671875,-2.98633203125,-2.25934765625,-2.584875,4.56664453125,-4.9771171875,-3.22831640625,12.62434765625,-0.955089843750001,-5.62976953125,-6.10773828125,4.40075,-3.09067578125,-3.6875625,-6.1476328125,-4.96208984375,9.99655078125,-1.00106640625,-5.86474609375,-7.675546875,9.95608984375,0.9105078125,-1.7877578125,-7.97036328125,4.59184375,-9.5175703125,3.53718359375,-6.6249921875,-3.50719921875
-3.53362890625,-1.69438671875,-2.69633203125,-3.13034765625,-2.859875,4.60664453125,-5.1901171875,-3.56031640625,15.77534765625,-1.52508984375,-5.33876953125,-4.94473828125,0.16375,-3.42667578125,-3.8035625,-6.0206328125,-5.03108984375,9.14055078125,-2.05706640625,-6.29174609375,-8.261546875,9.89108984375,0.1805078125,-3.1167578125,-8.36436328125,4.45684375,-10.9675703125,3.21418359375,-7.6229921875,-4.23219921875
-3.52962890625,-1.91738671875,-2.42833203125,-4.11534765625,-3.360875,4.98564453125,-4.8781171875,-3.31831640625,18.65134765625,-2.13308984375,-4.71776953125,-3.38673828125,-3.07725,-4.51167578125,-3.8815625,-5.2256328125,-5.04708984375,8.00055078125,-3.44106640625,-6.08874609375,-7.814546875,9.38208984375,-0.3734921875,-4.1017578125,-8.07936328125,4.73584375,-11.9265703125,2.97318359375,-8.3989921875,-5.14919921875
-4.29062890625,-2.57538671875,-2.74933203125,-5.32434765625,-4.326875,5.14164453125,-4.6951171875,-3.19431640625,20.02934765625,-3.19208984375,-4.33076953125,-2.19673828125,-5.42525,-6.51567578125,-4.2835625,-4.3446328125,-5.10708984375,6.44155078125,-5.19906640625,-5.57374609375,-6.663546875,8.40308984375,-0.9134921875,-4.7917578125,-7.38536328125,5.26184375,-12.3815703125,2.81718359375,-8.8229921875,-6.21319921875
-5.83562890625,-3.81538671875,-3.90933203125,-6.89134765625,-5.859875,4.63864453125,-5.1441171875,-3.67931640625,19.24334765625,-4.92908984375,-4.56576953125,-1.85573828125,-7.00425,-9.30167578125,-5.1545625,-3.9336328125,-5.20308984375,4.42055078125,-7.18906640625,-5.10874609375,-5.383546875,7.06308984375,-1.6064921875,-5.2847578125,-6.61436328125,5.86884375,-12.4345703125,2.69318359375,-8.8769921875,-7.25219921875
-7.61662890625,-5.41838671875,-5.65533203125,-8.73434765625,-7.772875,3.43864453125,-6.2761171875,-4.73831640625,16.56934765625,-7.18908984375,-5.43776953125,-2.34173828125,-7.79425,-12.35667578125,-6.3165625,-4.2346328125,-5.22508984375,2.10755078125,-9.05906640625,-4.91674609375,-4.531546875,5.62108984375,-2.4834921875,-5.6397578125,-6.01836328125,6.39084375,-12.2035703125,2.50518359375,-8.6819921875,-8.08919921875
-8.82362890625,-6.85938671875,-7.34533203125,-10.48034765625,-9.590875,1.87164453125,-7.7331171875,-5.86531640625,13.11034765625,-9.46008984375,-6.61276953125,-3.22773828125,-7.68625,-14.91267578125,-7.3605625,-5.0716328125,-5.03208984375,-0.0994492187500002,-10.35406640625,-4.99874609375,-4.368546875,4.41308984375,-3.3844921875,-5.8447578125,-5.67336328125,6.70084375,-11.7555703125,2.17518359375,-8.4409921875,-8.64119921875
-8.88162890625,-7.57838671875,-8.31133203125,-11.64334765625,-10.780875,0.37564453125,-9.0981171875,-6.46431640625,10.19234765625,-11.14408984375,-7.65776953125,-4.02773828125,-6.64225,-16.27367578125,-7.9045625,-6.0116328125,-4.54508984375,-1.71844921875,-10.72906640625,-5.18974609375,-4.743546875,3.72108984375,-4.0394921875,-5.8577578125,-5.48436328125,6.77384375,-11.1075703125,1.70218359375,-8.3089921875,-8.92919921875
-7.82062890625,-7.31638671875,-8.24933203125,-11.90734765625,-11.070875,-0.78735546875,-10.2331171875,-6.26131640625,8.67134765625,-11.87808984375,-8.34276953125,-4.54073828125,-4.79525,-16.15567578125,-7.8645625,-6.6756328125,-3.84008984375,-2.41144921875,-10.14406640625,-5.33374609375,-5.223546875,3.66008984375,-4.2354921875,-5.6847578125,-5.29636328125,6.69884375,-10.2965703125,1.17718359375,-8.2979921875,-8.98219921875
-6.26862890625,-6.26238671875,-7.36833203125,-11.30834765625,-10.622875,-1.64135546875,-11.3441171875,-5.45331640625,8.57034765625,-11.72508984375,-8.77476953125,-4.90873828125,-2.40225,-14.82467578125,-7.5395625,-6.9606328125,-3.15208984375,-2.14644921875,-8.90606640625,-5.41474609375,-5.387546875,4.18408984375,-3.9524921875,-5.4137578125,-5.01436328125,6.62284375,-9.4265703125,0.760183593749999,-8.2539921875,-8.72619921875
-5.06362890625,-4.92438671875,-6.21633203125,-10.20334765625,-9.897875,-2.42935546875,-12.7541171875,-4.57431640625,9.23134765625,-11.08808984375,-9.26076953125,-5.38273828125,0.27975,-12.93567578125,-7.4135625,-7.0236328125,-2.75308984375,-1.17844921875,-7.52006640625,-5.54874609375,-5.062546875,5.13808984375,-3.3614921875,-5.1997578125,-4.65636328125,6.66484375,-8.6555703125,0.61218359375,-7.9439921875,-7.95119921875
-4.74762890625,-3.83038671875,-5.34533203125,-9.08434765625,-9.340875,-3.41135546875,-14.5841171875,-4.17931640625,9.80334765625,-10.45508984375,-10.04276953125,-6.05873828125,3.03875,-11.20467578125,-7.8365625,-7.0976328125,-2.78408984375,0.0995507812500001,-6.45506640625,-5.86874609375,-4.390546875,6.29708984375,-2.7274921875,-5.2137578125,-4.32836328125,6.85484375,-8.1435703125,0.807183593749999,-7.2019921875,-6.44119921875
-5.28062890625,-3.29438671875,-5.06033203125,-8.37434765625,-9.139875,-4.64335546875,-16.5931171875,-4.53831640625,9.71134765625,-10.12808984375,-11.12176953125,-6.81073828125,5.63875,-10.14567578125,-8.8355625,-7.3366328125,-3.16308984375,1.29455078125,-5.98706640625,-6.43874609375,-3.743546875,7.34408984375,-2.3144921875,-5.6067578125,-4.19436328125,7.08984375,-8.0355703125,1.23118359375,-6.0909921875,-4.19719921875
-6.15962890625,-3.37238671875,-5.37733203125,-8.32234765625,-9.228875,-5.90035546875,-18.2881171875,-5.51431640625,8.84034765625,-10.13108984375,-12.28176953125,-7.41473828125,7.67575,-9.99867578125,-10.1555625,-7.7716328125,-3.64108984375,2.07655078125,-6.19306640625,-7.25474609375,-3.551546875,7.86508984375,-2.3384921875,-6.4987578125,-4.43836328125,7.13384375,-8.4745703125,1.55318359375,-4.9639921875,-1.60619921875
