"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
8.61163671875,18.83872265625,18.77982421875,-20.8166484375,-1.58419140625,-4.76532421875,-1.41988671875,15.34566015625,-13.15559375,-9.48499609375,-2.162015625,10.06778515625,-5.83162109375,-10.71592578125,-5.51023046875,-2.25965625,4.3356953125,-9.20019140625,-2.0491953125,-8.33179296875,-0.90251953125,-9.01712890625,-7.1163515625,-7.703984375,-6.0486015625,0.380890625,-3.81919140625,-5.36855859375,2.2918359375,1.7844453125
1.22563671875,11.28072265625,10.61582421875,-22.5306484375,-1.54719140625,-4.97732421875,-1.27688671875,14.38266015625,-14.25659375,-9.45899609375,-1.638015625,8.33778515625,-8.32462109375,-11.61392578125,-5.36923046875,-3.02265625,3.3136953125,-10.78219140625,-3.1141953125,-9.48779296875,-1.99951953125,-9.80212890625,-8.5293515625,-7.825984375,-7.5206015625,-1.485109375,-5.37819140625,-6.74855859375,0.9218359375,0.1804453125
-4.24536328125,5.95572265625,4.74282421875,-23.9686484375,-1.36319140625,-5.19632421875,-1.26788671875,13.65166015625,-14.89659375,-9.32399609375,-1.455015625,7.32778515625,-9.97062109375,-12.04992578125,-5.38723046875,-3.74265625,3.2456953125,-11.72219140625,-4.0291953125,-10.36879296875,-2.92551953125,-9.73112890625,-9.4673515625,-7.992984375,-8.6216015625,-2.828109375,-6.40719140625,-7.38255859375,0.2038359375,-0.7975546875
-7.35336328125,3.29072265625,1.69182421875,-24.9516484375,-1.00619140625,-5.25032421875,-1.20588671875,13.36266015625,-14.97659375,-9.02199609375,-1.490015625,7.17478515625,-10.38462109375,-11.90892578125,-5.42523046875,-4.17065625,4.2306953125,-11.83319140625,-4.5901953125,-10.76879296875,-3.46151953125,-8.72612890625,-9.7393515625,-8.087984375,-9.1336015625,-3.472109375,-6.73819140625,-7.13955859375,0.2848359375,-1.0025546875
-8.25436328125,3.00472265625,1.27982421875,-25.4046484375,-0.52219140625,-4.97332421875,-0.84188671875,13.66866015625,-14.58959375,-8.54299609375,-1.493015625,7.81478515625,-9.48062109375,-11.24492578125,-5.29523046875,-4.02865625,5.9696953125,-11.15819140625,-4.6211953125,-10.53379296875,-3.41951953125,-7.09012890625,-9.3133515625,-7.986984375,-8.9426015625,-3.390109375,-6.39219140625,-6.16055859375,1.1038359375,-0.4795546875
-7.66336328125,4.22572265625,2.65682421875,-25.4456484375,-0.0361914062499999,-4.32332421875,-0.03788671875,14.55166015625,-14.01159375,-7.96299609375,-1.237015625,9.00578515625,-7.60962109375,-10.30192578125,-4.88823046875,-3.18965625,7.8536953125,-10.00119140625,-4.1081953125,-9.65079296875,-2.77451953125,-5.44512890625,-8.3693515625,-7.658984375,-8.1316015625,-2.728109375,-5.60219140625,-4.82755859375,2.4018359375,0.5454453125
-6.50736328125,5.89972265625,4.66482421875,-25.3426484375,0.30280859375,-3.41232421875,1.14011328125,15.84366015625,-13.59859375,-7.41499609375,-0.620015625,10.43378515625,-5.44762109375,-9.41892578125,-4.23423046875,-1.75765625,9.2776953125,-8.81619140625,-3.2201953125,-8.24379296875,-1.67951953125,-4.44412890625,-7.2293515625,-7.159984375,-6.9626015625,-1.727109375,-4.69519140625,-3.57955859375,3.8498359375,1.7734453125
-5.47036328125,7.26572265625,6.35082421875,-25.3536484375,0.40280859375,-2.42632421875,2.48411328125,17.37066015625,-13.61859375,-7.02599609375,0.302984375,11.82078515625,-3.67062109375,-8.88592578125,-3.46423046875,-0.04965625,9.9766953125,-7.99319140625,-2.2151953125,-6.50379296875,-0.39751953125,-4.42612890625,-6.1913515625,-6.543984375,-5.7566015625,-0.634109375,-3.91619140625,-2.71255859375,5.1798359375,2.9424453125
-4.74736328125,8.08572265625,7.29382421875,-25.5826484375,0.27880859375,-1.53532421875,3.76511328125,19.06766015625,-14.12359375,-6.85099609375,1.363984375,12.99178515625,-2.66862109375,-8.81992578125,-2.73523046875,1.50334375,10.1316953125,-7.69519140625,-1.3031953125,-4.61879296875,0.78548046875,-5.23912890625,-5.4133515625,-5.807984375,-4.7816015625,0.347890625,-3.33219140625,-2.28055859375,6.2518359375,3.8784453125
-4.17936328125,8.53172265625,7.59182421875,-25.9606484375,0.0108085937499998,-0.839324218749999,4.80411328125,20.91566015625,-14.92859375,-6.82599609375,2.359984375,13.88278515625,-2.43162109375,-9.11592578125,-2.14323046875,2.49434375,10.1796953125,-7.81119140625,-0.568195312499999,-2.79079296875,1.62248046875,-6.36212890625,-4.8793515625,-4.923984375,-4.1926015625,1.046890625,-2.87619140625,-2.14555859375,7.0028359375,4.4534453125
