"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-11.79839453125,-15.63743359375,-12.4905703125,-12.00773828125,-8.40073828125,-14.56923828125,-6.73214453125,-10.69933984375,-9.28274609375,-7.62733984375,-11.29275,0.5651015625,-6.53490625,-10.800921875,-8.22711328125,-13.793390625,-8.0573671875,-20.60968359375,-8.3513046875,-21.64146484375,-25.35837890625,-8.63534765625,-10.86380859375,-15.4032265625,0.81353125,-22.6570234375,-18.20717578125,-18.96944921875,-14.77230078125,-13.717203125
-16.02439453125,-14.20943359375,-10.6385703125,-9.43873828125,-7.23373828125,-13.13023828125,-6.63014453125,-12.16233984375,-7.62474609375,-7.03033984375,-9.77875,2.9361015625,-6.09490625,-9.904921875,-7.28611328125,-11.752390625,-4.3433671875,-18.81268359375,-7.5353046875,-20.31046484375,-23.09637890625,-7.47834765625,-9.63080859375,-13.7162265625,1.80753125,-21.9480234375,-17.04717578125,-17.93544921875,-13.94830078125,-12.960203125
-18.92539453125,-14.60143359375,-10.6595703125,-7.93573828125,-7.08873828125,-13.09223828125,-7.75914453125,-13.44733984375,-6.79474609375,-7.16933984375,-9.83175,3.8931015625,-6.20390625,-9.786921875,-7.58511328125,-11.256390625,-3.0063671875,-17.96368359375,-7.7383046875,-20.39746484375,-22.21637890625,-7.02734765625,-9.56280859375,-13.5982265625,1.68653125,-22.3230234375,-17.05317578125,-17.50744921875,-13.84230078125,-12.764203125
-20.50939453125,-16.55343359375,-12.3385703125,-7.60873828125,-7.94173828125,-14.33423828125,-9.94014453125,-14.27533984375,-6.85674609375,-8.00033984375,-11.34975,3.6271015625,-6.91190625,-10.428921875,-9.06711328125,-12.244390625,-3.7413671875,-18.08868359375,-8.9493046875,-21.84146484375,-22.61537890625,-7.26034765625,-10.69680859375,-15.0532265625,0.39953125,-23.6220234375,-18.15617578125,-17.59944921875,-14.38230078125,-13.062203125
-20.99539453125,-19.07143359375,-14.7625703125,-8.22473828125,-9.39573828125,-16.21823828125,-12.51014453125,-14.35833984375,-7.61374609375,-9.19533984375,-13.64075,2.7811015625,-8.09990625,-11.551921875,-11.20411328125,-14.102390625,-5.4583671875,-18.90668359375,-10.7913046875,-24.04146484375,-23.71637890625,-7.94034765625,-12.65680859375,-17.5172265625,-1.73846875,-25.2780234375,-19.83117578125,-17.91144921875,-15.23530078125,-13.585203125
-20.43139453125,-20.87143359375,-16.7995703125,-9.28773828125,-10.85473828125,-17.91023828125,-14.61114453125,-13.53833984375,-8.68574609375,-10.27233984375,-15.74775,2.0331015625,-9.54790625,-12.762921875,-13.23211328125,-15.952390625,-6.9233671875,-19.95568359375,-12.6883046875,-26.11246484375,-24.76437890625,-8.75134765625,-14.80080859375,-20.1092265625,-4.16746875,-26.6230234375,-21.32917578125,-18.09044921875,-15.96230078125,-13.988203125
-18.54739453125,-20.89343359375,-17.5825703125,-10.16373828125,-11.73873828125,-18.72323828125,-15.50314453125,-11.85633984375,-9.61874609375,-10.76733984375,-16.84275,1.7981015625,-10.98290625,-13.674921875,-14.43511328125,-16.998390625,-7.3343671875,-20.74368359375,-14.0583046875,-27.23946484375,-25.15537890625,-9.42134765625,-16.42280859375,-21.9532265625,-6.26246875,-27.1740234375,-21.96217578125,-17.87444921875,-16.18330078125,-13.970203125
-14.99839453125,-18.72643359375,-16.7685703125,-10.24673828125,-11.64073828125,-18.28223828125,-14.82414453125,-9.56533984375,-9.95374609375,-10.36733984375,-16.47175,2.1781015625,-12.06490625,-13.946921875,-14.35511328125,-16.784390625,-6.5223671875,-20.84968359375,-14.4373046875,-26.95246484375,-24.61037890625,-9.73134765625,-16.92380859375,-22.4282265625,-7.47046875,-26.7640234375,-21.31917578125,-17.12644921875,-15.64430078125,-13.324203125
-9.86139453125,-14.80543359375,-14.5605703125,-9.15673828125,-10.42673828125,-16.57123828125,-12.70814453125,-7.09933984375,-9.34374609375,-9.01133984375,-14.65075,3.0641015625,-12.42190625,-13.313921875,-12.89511328125,-15.298390625,-4.8403671875,-20.01768359375,-13.5653046875,-25.26146484375,-23.20637890625,-9.52034765625,-15.96880859375,-21.3122265625,-7.44446875,-25.5060234375,-19.37617578125,-15.82744921875,-14.25030078125,-11.989203125
-3.97839453125,-10.30843359375,-11.6045703125,-6.93673828125,-8.32873828125,-13.94823828125,-9.72014453125,-4.94533984375,-7.70974609375,-6.96533984375,-11.84775,4.2251015625,-11.78690625,-11.691921875,-10.37111328125,-12.961390625,-2.9433671875,-18.28568359375,-11.4913046875,-22.64446484375,-21.33137890625,-8.76634765625,-13.64080859375,-18.8502265625,-6.16646875,-23.6870234375,-16.51417578125,-14.10444921875,-12.12630078125,-10.108203125
