"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-2.21315625,-9.0565703125,-11.26387109375,-6.25747265625,-10.040296875,-17.55278515625,-5.00244921875,-4.7956328125,-14.392953125,-11.75202734375,-15.3105625,-13.769578125,-6.7852734375,-11.62592578125,-15.8321875,-16.0690546875,-10.45490625,-7.595953125,-13.80940625,-16.97115625,-12.702953125,-6.27769921875,-8.12251953125,-22.2718671875,-15.0700078125,-6.80444140625,-12.89070703125,-12.57684375,-9.78117578125,-12.69347265625
-4.59015625,-10.3875703125,-12.51887109375,-8.01547265625,-11.933296875,-19.02478515625,-6.45144921875,-6.4146328125,-17.094953125,-13.61002734375,-15.7315625,-13.923578125,-10.1872734375,-12.95292578125,-17.3891875,-17.2850546875,-12.08590625,-8.495953125,-15.05240625,-18.83015625,-13.868953125,-8.40469921875,-10.53051953125,-23.7578671875,-16.8320078125,-9.06644140625,-14.01070703125,-12.76084375,-11.89717578125,-14.26947265625
-6.23115625,-10.9705703125,-13.01187109375,-9.43647265625,-12.880296875,-19.43178515625,-6.85544921875,-6.9846328125,-18.482953125,-14.39102734375,-15.4405625,-13.486578125,-12.2442734375,-13.69692578125,-17.9841875,-17.4440546875,-12.46390625,-8.966953125,-15.42540625,-19.44415625,-14.327953125,-9.66969921875,-11.84751953125,-24.2838671875,-17.5420078125,-9.98044140625,-14.20770703125,-12.56184375,-12.92917578125,-14.96247265625
-6.97615625,-10.6385703125,-12.53687109375,-10.40447265625,-12.756296875,-18.63978515625,-6.11844921875,-6.4646328125,-18.362953125,-13.95502734375,-14.2965625,-12.305578125,-12.8152734375,-13.67292578125,-17.4011875,-16.3760546875,-11.37390625,-8.848953125,-14.73340625,-18.59415625,-13.921953125,-9.80069921875,-11.90551953125,-23.6408671875,-16.9740078125,-9.50044140625,-13.31870703125,-11.95884375,-12.70217578125,-14.62447265625
-6.84515625,-9.4775703125,-11.15687109375,-10.86247265625,-11.750296875,-16.84378515625,-4.47744921875,-5.1196328125,-16.964953125,-12.51702734375,-12.3995625,-10.450578125,-12.1342734375,-12.90092578125,-15.7451875,-14.2650546875,-9.06990625,-8.145953125,-13.07640625,-16.47615625,-12.713953125,-8.75569921875,-10.90051953125,-21.9428671875,-15.2360078125,-8.06544140625,-11.50070703125,-11.08884375,-11.39917578125,-13.37447265625
-6.02715625,-7.8225703125,-9.23887109375,-10.82347265625,-10.291296875,-14.51078515625,-2.41344921875,-3.3546328125,-14.856953125,-10.56102734375,-10.0805625,-8.234578125,-10.6532734375,-11.64492578125,-13.4471875,-11.6080546875,-6.23990625,-7.067953125,-10.86240625,-13.65715625,-10.978953125,-6.73969921875,-9.33551953125,-19.6358671875,-12.7620078125,-6.41944140625,-9.20170703125,-10.19784375,-9.50517578125,-11.55047265625
-4.84715625,-6.1445703125,-7.33787109375,-10.40547265625,-8.895296875,-12.25378515625,-0.50544921875,-1.5556328125,-12.766953125,-8.66402734375,-7.8125625,-6.106578125,-8.8752734375,-10.33092578125,-11.1221875,-9.0490546875,-3.73490625,-5.957953125,-8.67840625,-10.89115625,-9.107953125,-4.16869921875,-7.80751953125,-17.3588671875,-10.1750078125,-5.33444140625,-6.99770703125,-9.53484375,-7.63517578125,-9.58047265625
-3.70715625,-4.8855703125,-5.96687109375,-9.81647265625,-8.006296875,-10.62178515625,0.76255078125,0.0383671875,-11.348953125,-7.30002734375,-6.0755625,-4.487578125,-7.2432734375,-9.37592578125,-9.3601875,-7.1660546875,-2.21790625,-5.143953125,-7.08140625,-8.85715625,-7.482953125,-1.59569921875,-6.78051953125,-15.7008671875,-8.0800078125,-5.31544140625,-5.37670703125,-9.25384375,-6.30117578125,-7.83347265625
-2.98015625,-4.3145703125,-5.38787109375,-9.29247265625,-7.892296875,-9.88978515625,1.17455078125,1.3573671875,-10.987953125,-6.70402734375,-5.2105625,-3.630578125,-6.0702734375,-9.03292578125,-8.5361875,-6.3130546875,-1.91590625,-4.802953125,-6.39740625,-7.94615625,-6.371953125,0.41530078125,-6.43151953125,-14.9778671875,-6.8810078125,-6.41644140625,-4.57970703125,-9.36984375,-5.75617578125,-6.50447265625
-2.90115625,-4.4575703125,-5.54687109375,-9.03447265625,-8.597296875,-10.01878515625,0.82955078125,2.4043671875,-11.717953125,-6.87002734375,-5.3385625,-3.572578125,-5.4862734375,-9.30892578125,-8.7111875,-6.5380546875,-2.60290625,-4.901953125,-6.62240625,-8.18115625,-5.870953125,1.41830078125,-6.65151953125,-15.1358671875,-6.6850078125,-8.23744140625,-4.55970703125,-9.79384375,-5.94617578125,-5.61447265625
