"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-13.10451171875,-11.15337109375,-11.93630859375,-8.37087890625,-7.5166875,-3.77903515625,-8.96198046875,-15.76422265625,-3.08362109375,-6.7922265625,-10.16623046875,-5.59653125,-17.0176796875,-8.710171875,-9.29503125,-14.49940234375,-17.4193125,-7.6968046875,-11.43508984375,-11.26544140625,-13.03041796875,-6.40578125,-10.572234375,-8.523328125,-9.91317578125,-9.44157421875,-8.72819921875,-14.8729609375,-13.17576171875,-10.91641015625
-11.03851171875,-10.47737109375,-13.40330859375,-9.67587890625,-1.7276875,-2.49703515625,-8.66398046875,-16.64522265625,0.25137890625,-2.6612265625,-5.97123046875,-4.63353125,-10.8176796875,-6.390171875,-5.97603125,-13.51740234375,-16.8433125,-5.1368046875,-9.92108984375,-10.90544140625,-15.73841796875,-1.97378125,-9.525234375,-8.718328125,-12.03917578125,-13.07457421875,-8.16319921875,-12.0789609375,-11.73876171875,-10.00441015625
-10.24051171875,-10.23937109375,-15.29630859375,-11.69987890625,1.8453125,-1.70603515625,-8.05698046875,-16.72922265625,2.02737890625,-0.1842265625,-2.99923046875,-4.36553125,-7.3916796875,-5.662171875,-4.09803125,-12.63640234375,-16.2293125,-4.9468046875,-9.45908984375,-10.82944140625,-17.11941796875,-2.98878125,-10.062234375,-9.418328125,-13.65017578125,-15.28157421875,-8.48219921875,-11.0359609375,-11.57776171875,-9.92041015625
-10.27151171875,-10.19237109375,-17.21530859375,-14.01787890625,2.8963125,-1.66403515625,-7.34098046875,-15.91322265625,1.95937890625,0.3847734375,-1.51923046875,-4.63853125,-7.0276796875,-6.529171875,-3.79303125,-11.80940234375,-15.3353125,-7.0438046875,-10.03108984375,-10.98844140625,-17.09341796875,-8.98178125,-12.011234375,-10.519328125,-14.59617578125,-15.73057421875,-9.53419921875,-11.7309609375,-12.55676171875,-10.47941015625
-10.29051171875,-9.96237109375,-18.47030859375,-15.76687890625,1.7043125,-2.49803515625,-6.81298046875,-14.36122265625,0.17337890625,-0.7882265625,-1.50423046875,-5.06153125,-9.2176796875,-8.505171875,-4.79703125,-11.03040234375,-13.9233125,-10.5798046875,-11.30808984375,-11.29044140625,-16.04541796875,-17.57678125,-14.692234375,-11.774328125,-14.91417578125,-14.54057421875,-10.88019921875,-13.5489609375,-14.07876171875,-11.20741015625
-9.61151171875,-9.29637109375,-18.40530859375,-16.04287890625,-1.0486875,-4.06903515625,-6.64998046875,-12.42822265625,-2.81162109375,-3.2102265625,-2.65423046875,-5.19153125,-12.8806796875,-10.854171875,-6.59003125,-10.37140234375,-12.0283125,-14.3238046875,-12.82608984375,-11.66444140625,-14.61241796875,-25.58278125,-17.254234375,-12.929328125,-14.82317578125,-12.27257421875,-12.03119921875,-15.5869609375,-15.41576171875,-11.63641015625
-8.06051171875,-8.17637109375,-16.77230859375,-14.32687890625,-4.4516875,-5.93803515625,-6.80298046875,-10.54322265625,-6.17062109375,-6.1702265625,-4.42923046875,-4.72153125,-16.6636796875,-12.821171875,-8.55503125,-9.92140234375,-10.0753125,-17.0558046875,-14.13708984375,-12.06244140625,-13.36741796875,-30.16078125,-18.983234375,-13.799328125,-14.60517578125,-9.71957421875,-12.65319921875,-17.0519609375,-16.05176171875,-11.55741015625
-5.91751171875,-6.74237109375,-13.91530859375,-10.71487890625,-7.5266875,-7.50003515625,-7.04298046875,-9.10222265625,-8.95762109375,-8.8562265625,-6.13623046875,-3.60053125,-19.2926796875,-13.821171875,-10.10503125,-9.70740234375,-8.6773125,-17.9058046875,-14.90608984375,-12.42944140625,-12.60441796875,-29.71878125,-19.482234375,-14.276328125,-14.46017578125,-7.56657421875,-12.65819921875,-17.5319609375,-15.85876171875,-11.06941015625
-3.64151171875,-5.19237109375,-10.68030859375,-5.87687890625,-9.4236875,-8.22503515625,-7.09598046875,-8.41422265625,-10.41762109375,-10.5362265625,-7.12823046875,-2.09953125,-19.9516796875,-13.608171875,-10.81503125,-9.70840234375,-8.2713125,-16.6358046875,-14.99408984375,-12.72144140625,-12.36841796875,-24.43078125,-18.768234375,-14.359328125,-14.47217578125,-6.17057421875,-12.20619921875,-17.0739609375,-15.07476171875,-10.46141015625
-1.66851171875,-3.77237109375,-8.04030859375,-0.831878906249999,-9.6886875,-7.89003515625,-6.78898046875,-8.68522265625,-10.29862109375,-10.8032265625,-7.05323046875,-0.76553125,-18.5596796875,-12.364171875,-10.55903125,-9.93440234375,-8.9273125,-13.7638046875,-14.51308984375,-12.95244140625,-12.64041796875,-16.16678125,-17.260234375,-14.187328125,-14.67217578125,-5.57457421875,-11.63719921875,-16.0709609375,-14.11776171875,-10.02541015625
