"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-21.48707421875,-26.264359375,-16.18180859375,18.20498828125,-17.82034375,-25.998625,-20.233296875,45.30263671875,-11.991171875,-20.62650390625,-27.92345703125,-28.6387421875,-22.2948046875,-19.72537109375,-22.404890625,-26.8281171875,-24.84465625,-21.3339140625,-26.9785078125,-27.610640625,-29.418515625,-19.69874609375,-27.60885546875,-22.37686328125,-28.56580859375,-34.84554296875,-26.22916015625,-35.83340234375,-25.3360703125,-35.798875
-30.25107421875,-31.084359375,-26.14180859375,10.17698828125,-18.82434375,-24.917625,-21.472296875,40.70863671875,-14.859171875,-20.36050390625,-25.60145703125,-28.1197421875,-24.4848046875,-19.71437109375,-21.646890625,-25.8721171875,-21.32265625,-20.6069140625,-25.5275078125,-25.906640625,-27.157515625,-18.20374609375,-25.64885546875,-20.51786328125,-26.35380859375,-33.18454296875,-24.51116015625,-31.97340234375,-21.8580703125,-33.084875
-34.50607421875,-32.234359375,-29.68580859375,5.69898828125,-19.43434375,-23.994625,-22.016296875,38.15463671875,-16.354171875,-19.85650390625,-23.99645703125,-26.7907421875,-26.1578046875,-19.77337109375,-20.940890625,-25.0961171875,-19.14065625,-20.0899140625,-24.5695078125,-24.764640625,-25.904515625,-17.05874609375,-24.49985546875,-19.43286328125,-25.21080859375,-32.15054296875,-23.64816015625,-29.79340234375,-20.3280703125,-32.165875
-34.00107421875,-29.585359375,-26.68880859375,5.13298828125,-19.51234375,-23.169625,-21.995296875,37.58163671875,-16.338171875,-19.09750390625,-23.07845703125,-24.5667421875,-26.8248046875,-19.77637109375,-20.245890625,-24.5221171875,-18.50565625,-19.6219140625,-23.9985078125,-24.111640625,-25.591515625,-15.90874609375,-23.95885546875,-18.99386328125,-24.98580859375,-31.60854296875,-23.32916015625,-28.97640234375,-20.4620703125,-32.638875
-29.84907421875,-24.326359375,-19.35080859375,7.75198828125,-19.04734375,-22.344625,-21.663296875,38.26563671875,-15.104171875,-18.15450390625,-22.61745703125,-21.7607421875,-26.0668046875,-19.56137109375,-19.514890625,-24.1381171875,-19.22565625,-18.9729140625,-23.5735078125,-23.713640625,-25.835515625,-14.31474609375,-23.58485546875,-18.83186328125,-25.19080859375,-31.30554296875,-22.97716015625,-28.67640234375,-21.3770703125,-33.526875
-23.88407421875,-18.394359375,-11.08980859375,12.05998828125,-18.17634375,-21.456625,-21.179296875,39.21863671875,-13.255171875,-17.15950390625,-22.33845703125,-19.0127421875,-23.7908046875,-19.03337109375,-18.731890625,-23.9241171875,-20.83265625,-17.9869140625,-23.0845078125,-23.336640625,-26.170515625,-12.09974609375,-22.98585546875,-18.56386328125,-25.30980859375,-31.09454296875,-22.15416015625,-28.11140234375,-22.1550703125,-33.899875
-17.94207421875,-13.614359375,-4.95480859375,16.34598828125,-17.12034375,-20.494625,-20.569296875,39.58763671875,-11.463171875,-16.24050390625,-22.03045703125,-16.9827421875,-20.3548046875,-18.20837109375,-17.909890625,-23.8231171875,-22.76965625,-16.6789140625,-22.4275078125,-22.824640625,-26.233515625,-9.54474609375,-22.00085546875,-17.95686328125,-25.00780859375,-30.94554296875,-20.80616015625,-27.01740234375,-22.2950703125,-33.305875
-13.36007421875,-11.018359375,-2.44680859375,19.26198828125,-16.06834375,-19.478625,-19.847296875,38.91563671875,-10.229171875,-15.46150390625,-21.56045703125,-15.9647421875,-16.5008046875,-17.17737109375,-17.056890625,-23.7081171875,-24.50165625,-15.2259140625,-21.5705078125,-22.101640625,-25.824515625,-7.31074609375,-20.69085546875,-16.94986328125,-24.18080859375,-30.78754296875,-19.22016015625,-25.68240234375,-21.8110703125,-31.820875
-10.74107421875,-10.628359375,-3.26180859375,20.25798828125,-15.08334375,-18.425625,-19.077296875,37.26263671875,-9.705171875,-14.77950390625,-20.83945703125,-15.7077421875,-13.0828046875,-16.04337109375,-16.133890625,-23.3711171875,-25.56065625,-13.8749140625,-20.4915078125,-21.120640625,-24.871515625,-6.09174609375,-19.21085546875,-15.59386328125,-22.87180859375,-30.35654296875,-17.76816015625,-24.55740234375,-20.9970703125,-29.790875
-9.97307421875,-11.699359375,-5.87980859375,19.66398828125,-14.06834375,-17.326625,-18.322296875,35.15663671875,-9.656171875,-14.06150390625,-19.80845703125,-15.5947421875,-10.7348046875,-14.86937109375,-15.064890625,-22.5931171875,-25.61465625,-12.8129140625,-19.1525078125,-19.856640625,-23.396515625,-6.17574609375,-17.70085546875,-13.98386328125,-21.17680859375,-29.23254296875,-16.63416015625,-23.74940234375,-20.0770703125,-27.503875
