"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-6.67258984375,-1.5196171875,-2.68185546875,-30.76313671875,-5.25686328125,2.25778515625,-0.40226953125,-7.63125390625,-14.19384375,-8.888890625,3.4115859375,4.46021484375,0.9761015625,3.350765625,0.160921875,7.1169609375,4.07474609375,3.2550390625,5.91339453125,-1.78578125,3.13678125,-9.4440234375,2.06516796875,6.29785546875,18.83003515625,16.700640625,6.21541015625,-6.5555390625,12.692046875,9.53462109375
-5.91858984375,-0.3556171875,-2.48785546875,-28.86413671875,-2.67586328125,1.87378515625,2.68373046875,-0.704253906249999,-12.23584375,-7.327890625,5.3565859375,4.22321484375,2.2741015625,4.210765625,3.212921875,7.1199609375,5.71174609375,2.4680390625,6.22839453125,-0.929781250000001,2.44678125,-11.2470234375,1.25016796875,5.80685546875,17.82803515625,16.812640625,3.95141015625,-9.1825390625,10.075046875,6.92162109375
-3.96458984375,1.3823828125,-0.55085546875,-26.25613671875,0.15013671875,2.79778515625,5.28473046875,4.27274609375,-9.97184375,-5.285890625,7.4145859375,4.64721484375,2.8521015625,5.434765625,6.163921875,7.5489609375,7.18574609375,1.9260390625,6.73339453125,-0.167781250000001,2.23478125,-12.2430234375,0.28516796875,5.00485546875,16.63403515625,16.844640625,1.67641015625,-11.1465390625,8.056046875,5.13462109375
-1.48158984375,3.2803828125,2.50714453125,-23.56113671875,2.64513671875,4.49078515625,6.73273046875,6.74474609375,-7.92884375,-3.272890625,9.0525859375,5.05821484375,2.6851015625,6.528765625,8.430921875,7.7469609375,7.95474609375,1.3870390625,6.91239453125,-0.125781250000001,1.89878125,-12.5130234375,-1.17483203125,3.42985546875,14.64003515625,16.395640625,-0.97058984375,-12.6435390625,6.355046875,3.82362109375
0.381410156249999,4.6773828125,5.43514453125,-21.68313671875,4.11313671875,5.96878515625,6.39773046875,6.62974609375,-6.75984375,-2.005890625,9.5775859375,4.45821484375,2.0921015625,6.830765625,9.296921875,6.7209609375,7.39674609375,0.5560390625,6.09339453125,-1.59978125,0.471781249999999,-12.3510234375,-3.41383203125,0.65185546875,11.13003515625,14.918640625,-4.35058984375,-14.0485390625,4.502046875,2.30362109375
0.740410156249999,5.0713828125,7.14014453125,-21.18313671875,4.25313671875,6.46378515625,4.11873046875,4.35274609375,-6.75784375,-1.926890625,8.5635859375,2.18121484375,1.6171015625,5.963765625,8.318921875,3.6829609375,5.19274609375,-0.6609609375,3.87839453125,-5.12178125,-2.84721875,-12.0250234375,-6.37083203125,-3.40214453125,5.70603515625,12.009640625,-8.50358984375,-15.6015390625,2.203046875,-0.00637890625000004
-0.516589843750001,4.3733828125,7.23914453125,-21.89213671875,3.42213671875,5.82778515625,0.43773046875,0.728746093750001,-7.59884375,-2.932890625,6.1295859375,-1.68178515625,1.7611015625,4.095765625,5.614921875,-1.4870390625,1.57674609375,-2.0399609375,0.43839453125,-10.61978125,-8.23621875,-11.6260234375,-9.52883203125,-8.25514453125,-1.38296484375,7.681640625,-12.96558984375,-17.1705390625,-0.384953124999999,-3.20737890625
-2.74558984375,2.8533828125,6.02614453125,-23.03213671875,2.43113671875,4.48678515625,-3.57126953125,-3.30525390625,-8.51084375,-4.479890625,2.8855859375,-6.34178515625,2.7031015625,1.836765625,1.854921875,-8.1360390625,-2.71725390625,-3.1539609375,-3.53260546875,-17.37178125,-15.11121875,-11.0920234375,-12.09383203125,-12.98014453125,-9.23396484375,2.429640625,-16.87958984375,-18.2605390625,-2.661953125,-6.83137890625
-5.00958984375,0.8943828125,4.04314453125,-23.73713671875,2.02113671875,3.05478515625,-6.80626953125,-6.97125390625,-8.74384375,-5.952890625,-0.4024140625,-10.77178515625,4.2181015625,-0.111234375,-2.042078125,-15.1240390625,-6.77025390625,-3.6229609375,-7.13960546875,-24.24378125,-22.37121875,-10.3640234375,-13.36183203125,-16.56114453125,-16.60896484375,-2.961359375,-19.35358984375,-18.2745390625,-3.866953125,-10.07337890625
-6.65058984375,-1.2386171875,1.62314453125,-23.59013671875,2.38713671875,1.92078515625,-8.64626953125,-9.81125390625,-8.03784375,-7.030890625,-3.1894140625,-14.20578515625,5.8351015625,-1.316234375,-5.302078125,-21.2690390625,-9.86525390625,-3.3129609375,-9.67060546875,-30.07378125,-28.81621875,-9.4950234375,-13.03883203125,-18.30714453125,-22.38696484375,-7.721359375,-19.83858984375,-16.8515390625,-3.486953125,-12.17837890625
