"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-58.24261328125,-62.015515625,-53.29912890625,-41.26059375,-31.000609375,-59.078828125,-58.0431171875,-30.4765703125,-43.89852734375,-72.577453125,-79.85219140625,-39.29186328125,-58.85884765625,-61.23501171875,-101.9235390625,-17.7695859375,57.70248046875,-26.57046484375,-63.0818046875,-57.3075546875,11.14909375,-52.22016015625,-54.09051171875,-66.04747265625,-24.81391796875,-59.660265625,-60.408125,-71.76549609375,-67.997359375,-95.5382578125
-55.98661328125,-59.625515625,-52.81612890625,-41.27659375,-29.552609375,-58.047828125,-56.0541171875,-30.1075703125,-43.06352734375,-71.144453125,-78.92019140625,-40.13186328125,-59.58684765625,-58.64501171875,-100.4745390625,-17.9615859375,55.46748046875,-24.93346484375,-60.5038046875,-56.9435546875,10.01509375,-49.91916015625,-50.63151171875,-63.38047265625,-23.33191796875,-59.685265625,-54.142125,-63.86149609375,-60.736359375,-91.4212578125
-53.77461328125,-56.748515625,-51.19012890625,-40.73259375,-27.833609375,-56.804828125,-53.9611171875,-29.7525703125,-41.97052734375,-69.437453125,-77.60419140625,-40.40786328125,-59.10884765625,-56.17801171875,-98.8765390625,-17.9145859375,53.49248046875,-23.05746484375,-57.7658046875,-56.2085546875,9.31909375,-47.17816015625,-46.98151171875,-60.29047265625,-21.67091796875,-59.521265625,-47.964125,-56.01249609375,-53.741359375,-87.3132578125
-51.61661328125,-53.470515625,-48.65712890625,-39.59959375,-25.958609375,-55.399828125,-51.8241171875,-29.3605703125,-40.84352734375,-67.540453125,-75.90319140625,-40.09086328125,-57.57584765625,-53.95001171875,-97.0675390625,-17.4855859375,51.93348046875,-20.97746484375,-54.9288046875,-54.9575546875,9.19909375,-44.01416015625,-43.17651171875,-56.74347265625,-19.75191796875,-59.014265625,-41.972125,-48.33349609375,-47.096359375,-83.1962578125
-49.52961328125,-50.117515625,-45.95512890625,-38.07759375,-24.205609375,-53.990828125,-49.7891171875,-28.9015703125,-40.07052734375,-65.692453125,-73.96019140625,-39.35486328125,-55.59684765625,-52.17801171875,-95.0625390625,-16.6155859375,50.87448046875,-18.93546484375,-52.2108046875,-53.1735546875,9.63609375,-40.68316015625,-39.46251171875,-52.93647265625,-17.59591796875,-58.070265625,-36.396125,-41.10849609375,-40.949359375,-79.1482578125
-47.60061328125,-47.142515625,-43.95312890625,-36.54459375,-22.917609375,-52.792828125,-48.0531171875,-28.4335703125,-40.03652734375,-64.207453125,-72.00319140625,-38.48986328125,-53.92184765625,-51.20401171875,-92.9855390625,-15.4205859375,50.24548046875,-17.38946484375,-49.9988046875,-51.0545546875,10.40209375,-37.66516015625,-36.31951171875,-49.30347265625,-15.40291796875,-56.756265625,-31.636125,-34.83749609375,-35.618359375,-75.4402578125
-46.01061328125,-44.986515625,-43.24112890625,-35.43259375,-22.345609375,-51.995828125,-46.7871171875,-28.0925703125,-40.97252734375,-63.357453125,-70.24719140625,-37.77786328125,-53.11984765625,-51.44901171875,-91.0575390625,-14.1775859375,49.81948046875,-16.91346484375,-48.7518046875,-48.9905546875,11.09109375,-35.57316015625,-34.38351171875,-46.44047265625,-13.56491796875,-55.352265625,-28.237125,-30.20349609375,-31.610359375,-72.5572578125
-44.97061328125,-43.973515625,-43.88412890625,-35.07359375,-22.537609375,-51.691828125,-46.0491171875,-28.0075703125,-42.84952734375,-63.264453125,-68.82319140625,-37.37586328125,-53.41984765625,-53.24501171875,-89.5145390625,-13.1945859375,49.30348046875,-18.00446484375,-48.8308046875,-47.4325546875,11.24609375,-34.98016015625,-34.25451171875,-44.92447265625,-12.55191796875,-54.286265625,-26.751125,-27.90149609375,-29.535359375,-71.0882578125
-44.61161328125,-44.242515625,-45.46912890625,-35.59259375,-23.318609375,-51.830828125,-45.7381171875,-28.1865703125,-45.36652734375,-63.846453125,-67.75019140625,-37.27186328125,-54.72584765625,-56.60901171875,-88.5155390625,-12.6575859375,48.49248046875,-20.84946484375,-50.2978046875,-46.6875546875,10.53809375,-36.20716015625,-36.23551171875,-45.09447265625,-12.71691796875,-53.962265625,-27.515125,-28.38149609375,-29.878359375,-71.4992578125
-44.91561328125,-45.687515625,-47.35312890625,-36.89459375,-24.383609375,-52.242828125,-45.6361171875,-28.4995703125,-48.02852734375,-64.822453125,-66.95219140625,-37.31986328125,-56.72684765625,-61.09301171875,-88.0695390625,-12.5465859375,47.38248046875,-25.15746484375,-52.8128046875,-46.7635546875,8.93109375,-39.15416015625,-40.12251171875,-46.87847265625,-14.09991796875,-54.549265625,-30.447125,-31.58649609375,-32.734359375,-73.8782578125
