"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-18.41864453125,-11.87849609375,-11.11221484375,-4.79275390625,-17.54334375,-14.877,-7.5916015625,-7.89825390625,-12.26273828125,-28.35184375,-7.91456640625,-12.6404453125,-8.72327734375,-13.39647265625,-16.1164140625,-7.547953125,-15.9855078125,-9.06015234375,-9.10479296875,-11.68974609375,-6.56194140625,-11.39029296875,-9.37660546875,-9.1572578125,-15.28865625,-3.870953125,-11.56469921875,4.1704453125,1.8474375,2.62053125
-14.69564453125,-13.54749609375,-12.26221484375,-4.51575390625,-19.94534375,-15.957,-9.8336015625,-7.84325390625,-13.99173828125,-30.32684375,-9.82556640625,-12.9904453125,-9.93627734375,-12.90047265625,-16.2154140625,-8.984953125,-15.5785078125,-8.77915234375,-10.11379296875,-12.06474609375,-5.89994140625,-11.39029296875,-9.37460546875,-9.0182578125,-13.78765625,-3.966953125,-10.14369921875,4.8674453125,3.1524375,4.00353125
-13.09164453125,-14.77749609375,-12.98721484375,-5.25675390625,-21.72834375,-16.872,-11.0946015625,-7.52125390625,-16.02573828125,-31.22184375,-11.07756640625,-13.4844453125,-11.14927734375,-13.02847265625,-16.7744140625,-10.152953125,-15.7765078125,-8.72915234375,-11.27379296875,-12.60974609375,-6.02094140625,-11.38329296875,-9.81960546875,-9.7202578125,-13.23765625,-5.001953125,-9.70669921875,5.0584453125,3.5094375,3.87453125
-13.33964453125,-15.36049609375,-13.19621484375,-6.81175390625,-22.56734375,-17.336,-11.1796015625,-6.95125390625,-17.91473828125,-30.65084375,-11.40856640625,-14.0164453125,-12.22527734375,-13.59747265625,-17.3084140625,-10.817953125,-16.5295078125,-8.87015234375,-12.42279296875,-13.03474609375,-6.80194140625,-11.23829296875,-10.63160546875,-11.1562578125,-13.59865625,-6.754953125,-10.28569921875,4.7824453125,2.9664375,2.38453125
-14.53664453125,-15.16549609375,-12.91921484375,-8.61975390625,-22.25034375,-17.053,-10.1516015625,-6.26325390625,-19.03273828125,-28.51484375,-10.70356640625,-14.3664453125,-13.01127734375,-14.18047265625,-17.1024140625,-10.743953125,-17.5625078125,-9.11215234375,-13.27379296875,-12.91174609375,-7.82794140625,-10.79329296875,-11.52360546875,-12.8812578125,-14.49165625,-8.616953125,-11.57469921875,4.2884453125,1.9044375,0.20653125
-15.73164453125,-14.23749609375,-12.30821484375,-10.11575390625,-20.80934375,-15.901,-8.3026015625,-5.60525390625,-18.94873828125,-25.11084375,-9.07956640625,-14.3144453125,-13.42727734375,-14.34547265625,-15.6764140625,-9.818953125,-18.5235078125,-9.40815234375,-13.56779296875,-11.93674609375,-8.63594140625,-9.97429296875,-12.13960546875,-14.3492578125,-15.43265625,-9.943953125,-13.10169921875,3.8754453125,0.8034375,-1.86846875
-16.36564453125,-12.85849609375,-11.61321484375,-11.06775390625,-18.59634375,-14.049,-6.1136015625,-5.03625390625,-17.69973828125,-21.14884375,-6.92156640625,-13.7744453125,-13.53927734375,-13.89847265625,-13.1424140625,-8.172953125,-19.1675078125,-9.82115234375,-13.25679296875,-10.16974609375,-8.97294140625,-8.87029296875,-12.22260546875,-15.1952578125,-16.10165625,-10.421953125,-14.42769921875,3.7104453125,0.000437499999999813,-3.32346875
-16.43864453125,-11.51449609375,-11.14221484375,-11.69575390625,-16.23234375,-11.952,-4.1686015625,-4.54225390625,-15.80173828125,-17.59184375,-4.82156640625,-12.8724453125,-13.55027734375,-12.98747265625,-10.2494140625,-6.215953125,-19.4595078125,-10.50115234375,-12.56979296875,-8.07874609375,-8.90694140625,-7.72229296875,-11.74760546875,-15.3922578125,-16.47665625,-10.231953125,-15.29969921875,3.7444453125,-0.4325625,-4.06846875
-16.40364453125,-10.73849609375,-11.18421484375,-12.50975390625,-14.40934375,-10.212,-3.0206015625,-4.16425390625,-14.02373828125,-15.35584375,-3.41456640625,-11.9014453125,-13.71327734375,-12.03447265625,-8.0994140625,-4.519953125,-19.5525078125,-11.59315234375,-11.91279296875,-6.35574609375,-8.74494140625,-6.84129296875,-10.91860546875,-15.2032578125,-16.76165625,-9.918953125,-15.67069921875,3.7784453125,-0.6435625,-4.33746875
-16.84564453125,-10.88249609375,-11.89621484375,-13.95675390625,-13.62734375,-9.357,-3.0206015625,-4.06725390625,-13.01573828125,-14.98184375,-3.16856640625,-11.1824453125,-14.20727734375,-11.51147265625,-7.6554140625,-3.608953125,-19.6515078125,-13.11615234375,-11.65079296875,-5.58074609375,-8.81294140625,-6.48329296875,-10.06260546875,-14.9772578125,-17.18165625,-10.044953125,-15.63269921875,3.6274453125,-0.8485625,-4.45246875
