"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
3.4314140625,0.686390625,2.51653515625,6.80327734375,8.091046875,4.3317734375,3.24612890625,-3.9175078125,10.66304296875,6.1897109375,2.0748828125,6.1024375,-2.25711328125,6.22498828125,6.70925,2.7175546875,3.894921875,3.33747265625,7.45342578125,2.7631796875,-1.534140625,1.6256875,3.913421875,5.447796875,2.2715546875,-8.60994921875,-1.05146484375,-11.6743984375,-6.28444140625,-8.36633203125
4.2254140625,0.867390625,1.66953515625,11.54027734375,7.774046875,5.7847734375,5.03412890625,-0.6415078125,7.67404296875,7.2317109375,1.9428828125,5.3114375,0.0958867187500001,6.89998828125,7.74525,1.9435546875,-7.129078125,5.48247265625,7.52342578125,2.5721796875,-2.055140625,0.2676875,4.130421875,5.670796875,1.3665546875,-10.98994921875,-0.48446484375,-10.8283984375,-6.27244140625,-8.60133203125
4.8534140625,1.338390625,2.40853515625,13.95327734375,8.220046875,6.9807734375,7.50712890625,1.9384921875,5.95704296875,8.1177109375,2.1858828125,4.8904375,3.20388671875,7.40598828125,8.40625,1.4885546875,-11.321078125,6.85347265625,7.56242578125,2.5351796875,-1.887140625,0.0646874999999998,4.416421875,5.625796875,1.2345546875,-12.11594921875,0.60053515625,-9.3863984375,-5.35244140625,-8.08033203125
5.4044140625,2.070390625,4.41153515625,14.17427734375,9.417046875,7.9117734375,10.18712890625,3.6104921875,5.93404296875,8.8647109375,2.8418828125,4.8224375,7.12088671875,7.90398828125,8.80125,1.4445546875,-8.764078125,7.47947265625,7.73242578125,2.8081796875,-0.945140625,1.2196875,4.916421875,5.477796875,1.9715546875,-11.66794921875,2.29153515625,-7.1963984375,-3.40144140625,-6.59933203125
5.9904140625,2.892390625,6.70653515625,13.09427734375,11.087046875,8.6187734375,12.27112890625,4.1734921875,7.65804296875,9.5637109375,3.8258828125,4.9634375,11.41188671875,8.65298828125,9.20725,1.8145546875,-1.830078125,7.64347265625,8.28742578125,3.5441796875,0.633859375,3.5426875,5.786421875,5.557796875,3.4415546875,-9.65894921875,4.50553515625,-4.3013984375,-0.58244140625,-4.18233203125
6.5804140625,3.498390625,8.17653515625,11.82927734375,12.782046875,9.1247734375,13.08012890625,3.4254921875,10.64804296875,10.3037109375,4.9358828125,5.0744375,15.08488671875,9.82798828125,9.89425,2.4615546875,6.009921875,7.66747265625,9.41842578125,4.7621796875,2.504859375,6.4446875,7.057421875,6.163796875,5.3055546875,-6.47594921875,6.94953515625,-1.0153984375,2.65655859375,-1.15633203125
6.9594140625,3.530390625,8.14953515625,11.16627734375,14.032046875,9.4057734375,12.44012890625,1.3694921875,13.91904296875,11.0797109375,5.9088828125,4.9114375,16.87988671875,11.35798828125,10.96425,3.1355546875,11.622921875,7.72247265625,11.09242578125,6.2591796875,4.215859375,9.0416875,8.533421875,7.365796875,7.1025546875,-2.80494921875,9.15753515625,2.1046015625,5.66155859375,1.86666796875
6.8544140625,2.783390625,6.73853515625,11.26527734375,14.499046875,9.4327734375,10.78312890625,-1.5055078125,16.29304296875,11.7657109375,6.5128828125,4.3674375,15.89488671875,12.89998828125,12.30025,3.5795546875,13.256921875,7.76847265625,13.01642578125,7.6551796875,5.377859375,10.4406875,9.836421875,8.935796875,8.3965546875,0.56205078125,10.63653515625,4.4076015625,7.75755859375,4.16866796875
6.1754140625,1.420390625,4.74053515625,11.74227734375,14.117046875,9.2417734375,8.95912890625,-4.1765078125,16.88104296875,12.1897109375,6.6428828125,3.6054375,12.18988671875,13.97198828125,13.64825,3.6525546875,10.910921875,7.64747265625,14.73642578125,8.5741796875,5.834859375,10.1056875,10.569421875,10.452796875,8.9345546875,2.99305078125,11.06753515625,5.3966015625,8.50255859375,5.20266796875
5.1614140625,0.0163906249999999,3.19453515625,11.99227734375,13.116046875,8.9617734375,7.89012890625,-5.4235078125,15.51804296875,12.2477109375,6.3678828125,3.0484375,6.96188671875,14.17798828125,14.75925,3.4005546875,6.094921875,7.23347265625,15.83342578125,8.8371796875,5.727859375,8.1346875,10.505421875,11.491796875,8.7335546875,4.23505078125,10.44653515625,4.9666015625,7.88655859375,4.83166796875
4.3104140625,-0.686609375,2.83953515625,11.57727734375,11.921046875,8.7617734375,8.20812890625,-4.4255078125,12.83704296875,11.9647109375,5.8838828125,3.1684375,2.10388671875,13.40098828125,15.48525,3.0155546875,1.107921875,6.53047265625,16.06642578125,8.5221796875,5.387859375,5.2676875,9.679421875,11.775796875,8.0205546875,4.45005078125,9.06253515625,3.4876015625,6.33755859375,3.38066796875
4.0784140625,-0.207609375,3.79453515625,10.42527734375,10.929046875,8.7277734375,9.98312890625,-1.2685078125,9.91504296875,11.4457109375,5.3958828125,4.1564375,-0.58811328125,11.82398828125,15.76125,2.6775546875,-2.025078125,5.62247265625,15.39242578125,7.8501796875,5.105859375,2.5706875,8.306421875,11.179796875,7.0425546875,4.04305078125,7.29253515625,1.6336015625,4.50755859375,1.43066796875
4.5654140625,1.340390625,5.57253515625,8.79427734375,10.310046875,8.7627734375,12.61412890625,3.0144921875,7.66704296875,10.7437109375,4.9708828125,5.7314375,-0.16211328125,9.76598828125,15.49325,2.3885546875,-2.502078125,4.55347265625,13.85342578125,6.9621796875,4.884859375,0.9506875,6.586421875,9.616796875,5.8535546875,3.34705078125,5.33653515625,0.0236015625000006,2.90755859375,-0.531332031250001
5.4354140625,3.267390625,7.40453515625,7.05927734375,9.934046875,8.5847734375,14.98712890625,6.9344921875,6.42404296875,9.7787109375,4.4768828125,7.2324375,3.16488671875,7.47698828125,14.48725,1.9265546875,-1.036078125,3.25647265625,11.46142578125,5.7681796875,4.383859375,0.7396875,4.553421875,6.952796875,4.2215546875,2.37305078125,3.06253515625,-1.1223984375,1.64955859375,-2.37533203125
6.1234140625,4.658390625,8.63553515625,5.50327734375,9.488046875,7.8897734375,15.93112890625,9.2794921875,5.95004296875,8.3897109375,3.6488828125,7.9504375,8.15788671875,5.05398828125,12.51325,0.9715546875,0.721921875,1.63547265625,8.20642578125,4.0051796875,3.088859375,1.5746875,2.090421875,3.081796875,1.7675546875,0.79105078125,0.12153515625,-2.0523984375,0.42955859375,-4.30833203125
6.1974140625,4.867390625,8.96053515625,4.22927734375,8.698046875,6.5587734375,14.80612890625,9.6204921875,5.81404296875,6.5017109375,2.2778828125,7.4804375,13.09288671875,2.53698828125,9.52325,-0.6404453125,1.207921875,-0.26152734375,4.21142578125,1.4831796875,0.646859375,2.6406875,-0.882578125,-1.852203125,-1.7174453125,-1.82294921875,-3.72246484375,-3.2553984375,-1.19044140625,-6.60733203125
5.6224140625,3.835390625,8.40353515625,3.22027734375,7.525046875,4.7807734375,11.91512890625,8.3274921875,5.76204296875,4.2877109375,0.4078828125,5.9134375,16.43188671875,0.08698828125,5.84425,-2.7314453125,-0.222078125,-2.14052734375,-0.0925742187500003,-1.6218203125,-2.840140625,3.1046875,-4.176578125,-7.258203125,-5.9674453125,-5.61694921875,-8.25346484375,-5.1013984375,-3.43244140625,-9.28633203125
4.7734140625,2.110390625,7.17453515625,2.49227734375,6.218046875,3.0127734375,8.47612890625,6.2164921875,5.78704296875,2.1887109375,-1.5881171875,3.7914375,17.34788671875,-1.94001171875,2.20925,-4.7644453125,-3.048078125,-3.54452734375,-3.93257421875,-4.6698203125,-6.737140625,2.4986875,-7.266578125,-12.114203125,-10.1584453125,-10.21794921875,-12.71146484375,-7.5923984375,-6.09444140625,-11.95433203125
4.2154140625,0.543390625,5.54353515625,2.20127734375,5.208046875,1.8127734375,6.10112890625,4.1144921875,5.94004296875,0.7547109375,-3.1111171875,1.8714375,15.88588671875,-3.10101171875,-0.45975,-6.0284453125,-5.905078125,-4.07252734375,-6.40657421875,-6.7388203125,-10.062140625,0.8626875,-9.443578125,-15.258203125,-13.1434453125,-14.74594921875,-16.03046484375,-10.3593984375,-8.61444140625,-13.93033203125
4.3694140625,-0.138609375,3.78453515625,2.55927734375,4.869046875,1.5927734375,5.99812890625,2.5564921875,6.11104296875,0.3627109375,-3.5961171875,0.790437499999999,12.69688671875,-3.09901171875,-1.43275,-5.9424453125,-7.266078125,-3.61252734375,-6.86457421875,-7.0288203125,-11.876140625,-1.3683125,-10.134578125,-15.847203125,-13.9284453125,-18.10194921875,-17.29846484375,-12.8523984375,-10.35744140625,-14.55333203125
5.2364140625,0.294390625,2.14753515625,3.59127734375,5.271046875,2.3837734375,8.31412890625,1.6754921875,6.00004296875,0.977710937499999,-2.8131171875,0.782437499999999,8.55988671875,-2.00501171875,-0.544750000000001,-4.3534453125,-6.250078125,-2.42852734375,-5.26557421875,-5.2888203125,-11.675140625,-3.6033125,-9.190578125,-13.752203125,-12.1274453125,-19.39594921875,-16.19246484375,-14.5983984375,-10.91944140625,-13.50633203125
6.3394140625,1.464390625,0.82653515625,4.91027734375,6.059046875,3.7457734375,12.02912890625,1.2724921875,5.31404296875,2.0927109375,-1.0451171875,1.5834375,4.03288671875,-0.30301171875,1.65625,-1.6794453125,-3.201078125,-1.04952734375,-2.28857421875,-2.0218203125,-9.610140625,-5.3323125,-6.981578125,-9.684203125,-8.1724453125,-18.29394921875,-13.14946484375,-15.3703984375,-10.28344140625,-10.99633203125
6.9354140625,2.589390625,-0.0524648437499993,5.75727734375,6.580046875,4.9177734375,15.47512890625,1.0334921875,4.04504296875,2.9287109375,0.9658828125,2.5944375,-0.55611328125,1.31398828125,4.09525,1.2045546875,0.386921875,0.00447265625000037,0.911425781249999,1.6681796875,-6.404140625,-6.2483125,-4.233578125,-4.935203125,-3.1634453125,-15.10194921875,-9.18146484375,-15.1973984375,-8.78244140625,-7.66433203125
6.4084140625,2.896390625,-0.409464843749999,5.35227734375,6.209046875,5.1727734375,17.15812890625,0.7554921875,2.60804296875,2.7987109375,2.3228828125,3.1834375,-4.82911328125,2.27398828125,5.63225,3.3075546875,2.686921875,0.48947265625,3.19642578125,4.5091796875,-3.019140625,-6.2613125,-1.706578125,-0.864203125,1.5685546875,-10.59694921875,-5.42646484375,-14.2413984375,-6.89644140625,-4.29733203125
4.6064140625,2.032390625,-0.22346484375,3.32927734375,4.711046875,4.1707734375,16.37312890625,0.4244921875,1.67404296875,1.4577109375,2.3548828125,2.9614375,-8.11511328125,2.40098828125,5.56925,3.9245546875,2.639921875,0.53247265625,3.92942578125,5.6001796875,-0.269140625,-5.4033125,0.104421875,1.638796875,4.9605546875,-5.69894921875,-2.68446484375,-12.6623984375,-5.03744140625,-1.49833203125
1.9274140625,0.221390625,0.408535156250001,-0.0037226562499999,2.390046875,2.1187734375,13.34912890625,0.0904921874999995,1.74904296875,-0.772289062500001,0.9098828125,1.9104375,-9.52111328125,1.94298828125,3.93025,2.9085546875,0.556921875,0.48747265625,3.20042578125,4.7621796875,1.435859375,-3.7383125,1.118421875,2.429796875,6.5595546875,-1.18394921875,-1.15846484375,-10.5533984375,-3.40444140625,0.48966796875
-0.8685859375,-1.874609375,1.22253515625,-3.70872265625,-0.0529531250000002,-0.336226562499999,9.03812890625,-0.2765078125,2.79404296875,-3.1492890625,-1.5881171875,0.3254375,-8.37211328125,1.36098828125,1.41125,0.7105546875,-2.195078125,0.664472656250001,1.69042578125,2.5701796875,2.122859375,-1.3453125,1.602421875,2.044796875,6.5725546875,2.47205078125,-0.50646484375,-7.9923984375,-1.98944140625,1.74266796875
-2.9945859375,-3.488609375,1.86353515625,-6.53772265625,-1.842953125,-2.3782265625,4.77712890625,-0.777507812500001,4.18904296875,-4.8452890625,-4.2861171875,-1.3135625,-4.73011328125,1.04698828125,-0.95875,-1.8084453125,-4.100078125,1.15047265625,0.30842578125,0.0631796874999999,2.139859375,1.5696875,1.973421875,1.368796875,5.6625546875,5.11205078125,-0.13446484375,-5.1403984375,-0.68244140625,2.48766796875
-3.9225859375,-4.056609375,2.05753515625,-7.42272265625,-2.434953125,-3.2962265625,1.93312890625,-1.4415078125,5.11604296875,-5.2542890625,-6.1931171875,-2.4915625,0.36088671875,1.17698828125,-2.22175,-3.6854453125,-4.295078125,1.80847265625,-0.182574218750001,-1.6738203125,1.966859375,4.5756875,2.604421875,1.244796875,4.6345546875,6.82305078125,0.49553515625,-2.2943984375,0.60455859375,2.93766796875
-3.5085859375,-3.374609375,1.76653515625,-5.93672265625,-1.646953125,-2.6942265625,1.52312890625,-2.1365078125,5.10604296875,-4.1342890625,-6.4881171875,-2.7955625,5.12588671875,1.75598828125,-1.79975,-4.1924453125,-2.835078125,2.46247265625,0.62842578125,-1.8778203125,2.038859375,7.0376875,3.710421875,2.210796875,4.1525546875,7.82605078125,1.67353515625,0.1716015625,1.89855859375,3.22166796875
-1.9625859375,-1.605609375,1.22053515625,-2.50572265625,0.373046875,-0.5752265625,3.85912890625,-2.6175078125,4.40904296875,-1.5932890625,-4.7901171875,-2.0175625,7.77288671875,2.77898828125,0.39025,-3.0744453125,-0.485078125,3.08847265625,2.78342578125,-0.3028203125,2.609859375,8.3406875,5.347421875,4.406796875,4.5745546875,8.34905078125,3.43453515625,1.9546015625,3.19055859375,3.42166796875
0.2794140625,0.834390625,0.83853515625,1.79827734375,3.276046875,2.6957734375,8.37612890625,-2.6325078125,3.91004296875,2.0117109375,-1.3001171875,-0.2025625,7.30988671875,4.34498828125,3.99725,-0.6054453125,1.752921875,3.87647265625,6.05442578125,2.7811796875,3.701859375,8.1626875,7.457421875,7.645796875,5.9135546875,8.56105078125,5.65553515625,2.9526015625,4.48255859375,3.62966796875
