"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-2.9253125,1.68073046875,-14.24159765625,14.19982421875,5.84051953125,-4.20994140625,-6.9041953125,-1.51396484375,2.68012890625,-0.096359375,-3.1629140625,-2.056796875,0.48038671875,5.0928203125,-3.2289921875,-3.9570078125,2.88752734375,0.36096875,-16.15042578125,-3.84841796875,-1.81375,1.69148046875,1.8028984375,-1.51382421875,-6.73603515625,-7.1011328125,1.9873203125,3.08610546875,-0.52025,5.28081640625
2.6786875,1.79173046875,-13.12059765625,17.35582421875,2.63051953125,-2.15694140625,-2.9561953125,1.03403515625,0.85812890625,-2.625359375,-2.9069140625,-4.590796875,-1.73661328125,4.7528203125,-3.8599921875,-5.5540078125,0.87652734375,-0.78803125,-16.09342578125,-3.96041796875,-2.80875,0.82748046875,0.336898437499999,-2.33382421875,-8.14303515625,-7.3201328125,1.8373203125,3.86610546875,0.10575,5.72481640625
5.4306875,1.44573046875,-11.11759765625,19.21782421875,0.92451953125,-1.08194140625,-1.0591953125,1.69703515625,-0.73087109375,-4.029359375,-2.4129140625,-6.175796875,-2.22461328125,4.4008203125,-3.9609921875,-6.3320078125,-0.90247265625,-1.99703125,-16.05742578125,-3.95141796875,-3.77175,-0.12051953125,-1.0921015625,-3.06182421875,-9.20603515625,-8.0891328125,1.2603203125,3.93110546875,0.34175,5.78181640625
5.5956875,0.74273046875,-8.22359765625,19.84182421875,0.95851953125,-0.62194140625,-0.8781953125,0.77403515625,-1.90287109375,-4.119359375,-1.5129140625,-6.484796875,-0.97261328125,4.1278203125,-3.4439921875,-6.0770078125,-2.21747265625,-3.13803125,-15.93442578125,-3.75041796875,-4.50575,-1.16351953125,-2.3861015625,-3.62682421875,-9.75003515625,-9.2971328125,0.2193203125,3.14010546875,-0.0322500000000003,5.28681640625
4.3096875,0.0467304687500001,-4.89459765625,19.71882421875,2.49751953125,-0.0969414062499998,-1.4231953125,-0.75996484375,-2.43987109375,-3.044359375,-0.0749140625,-5.396796875,1.44838671875,4.0618203125,-2.3739921875,-4.7910078125,-2.81647265625,-3.96503125,-15.57842578125,-3.29341796875,-4.75875,-2.19251953125,-3.3651015625,-3.91882421875,-9.65803515625,-10.5271328125,-1.1126796875,1.63310546875,-1.11425,4.18381640625
2.8916875,-0.18426953125,-1.93959765625,19.47982421875,4.91151953125,1.02105859375,-1.6891953125,-1.87096484375,-2.21187109375,-1.259359375,1.8860859375,-3.108796875,4.16938671875,4.2738203125,-0.9609921875,-2.7320078125,-2.56847265625,-4.21703125,-14.89942578125,-2.57441796875,-4.38175,-2.94851953125,-3.8191015625,-3.83082421875,-8.95003515625,-11.2501328125,-2.3866796875,-0.15589453125,-2.78425,2.56781640625
2.3356875,0.33973046875,-0.163597656249999,19.56482421875,7.35151953125,2.79705859375,-1.1361953125,-1.99396484375,-1.32387109375,0.581640625,4.1110859375,-0.142796875,6.37138671875,4.7008203125,0.485007812500001,-0.3840078125,-1.58147265625,-3.79003125,-13.93742578125,-1.68241796875,-3.45475,-3.15051953125,-3.6351015625,-3.33982421875,-7.81103515625,-11.0981328125,-3.2336796875,-1.63989453125,-4.70625,0.69281640625
3.0846875,1.54373046875,0.0264023437500001,20.04382421875,9.02551953125,4.84705859375,0.1778046875,-1.15196484375,-0.15987109375,1.816640625,6.1240859375,2.792203125,7.52838671875,5.1308203125,1.6230078125,1.6849921875,-0.18847265625,-2.86303125,-12.89142578125,-0.79141796875,-2.25475,-2.70651953125,-2.9121015625,-2.56982421875,-6.52603515625,-10.0241328125,-3.4446796875,-2.35889453125,-6.43825,-1.07218359375
5.0416875,3.01273046875,-1.21859765625,20.65682421875,9.44551953125,6.58505859375,1.7718046875,0.30703515625,0.74412890625,2.011640625,7.4090859375,5.058203125,7.47438671875,5.2848203125,2.1770078125,3.0339921875,1.22952734375,-1.87603125,-12.07042578125,-0.0874179687499996,-1.10575,-1.86851953125,-1.9841015625,-1.78382421875,-5.37203515625,-8.2611328125,-3.0886796875,-2.22889453125,-7.63225,-2.34418359375
7.7216875,4.23873046875,-3.29659765625,21.04882421875,8.58951953125,7.56005859375,3.1108046875,2.08303515625,0.95912890625,1.142640625,7.6700859375,6.331203125,6.35138671875,4.9628203125,2.0320078125,3.5369921875,2.44252734375,-1.34003125,-11.77142578125,0.32858203125,-0.20475,-1.16051953125,-1.3031015625,-1.28482421875,-4.52603515625,-6.1581328125,-2.4966796875,-1.59989453125,-8.18025,-2.87918359375
10.4956875,4.89973046875,-5.39459765625,21.01282421875,6.88951953125,7.70005859375,3.9678046875,4.10403515625,0.39412890625,-0.394359375,7.0100859375,6.681203125,4.48638671875,4.1718203125,1.2970078125,3.4209921875,3.47152734375,-1.58603125,-12.12942578125,0.48858203125,0.45225,-1.10651953125,-1.2531015625,-1.29382421875,-4.04003515625,-4.0221328125,-2.1196796875,-1.04689453125,-8.25725,-2.70618359375
12.7596875,4.98773046875,-6.71359765625,20.54282421875,5.02851953125,7.32505859375,4.5518046875,6.39003515625,-0.65587109375,-1.960359375,5.8910859375,6.438203125,2.25638671875,3.1578203125,0.2770078125,3.1309921875,4.51552734375,-2.60003125,-13.03342578125,0.53058203125,1.01625,-1.93851953125,-1.9841015625,-1.84982421875,-3.87803515625,-2.0611328125,-2.3446796875,-1.07389453125,-8.22825,-2.14718359375
13.9646875,4.70473046875,-6.64759765625,19.68082421875,3.65151953125,6.90505859375,5.2828046875,8.76803515625,-1.67687109375,-2.956359375,4.8880859375,5.931203125,0.00638671874999994,2.2978203125,-0.6429921875,3.0889921875,5.75852734375,-4.03503125,-14.14842578125,0.60958203125,1.65925,-3.49651953125,-3.3541015625,-2.80782421875,-3.98403515625,-0.4471328125,-3.3626796875,-1.91089453125,-8.49625,-1.71018359375
13.6146875,4.27373046875,-4.94859765625,18.37382421875,3.11951953125,6.73305859375,6.3998046875,10.74003515625,-2.21987109375,-3.069359375,4.3860859375,5.311203125,-1.96461328125,1.9378203125,-1.1649921875,3.4949921875,7.18552734375,-5.38703125,-15.06542578125,0.82158203125,2.45025,-5.35651953125,-4.9921015625,-3.90282421875,-4.30403515625,0.6118671875,-5.0916796875,-3.48289453125,-9.35025,-1.88818359375
11.4576875,3.79873046875,-1.84159765625,16.52982421875,3.41751953125,6.77705859375,7.7508046875,11.67303515625,-2.11987109375,-2.371359375,4.4110859375,4.581203125,-3.37561328125,2.2468203125,-1.2019921875,4.2709921875,8.53152734375,-6.20003125,-15.45342578125,1.16558203125,3.30825,-7.03951953125,-6.4291015625,-4.83882421875,-4.76503515625,0.9018671875,-7.1866796875,-5.48789453125,-10.82025,-2.92218359375
7.8096875,3.27473046875,1.95640234375,14.23782421875,4.22551953125,6.76605859375,8.8698046875,11.16603515625,-1.54187109375,-1.274359375,4.6670859375,3.750203125,-3.98161328125,3.1558203125,-0.909992187499999,5.1229921875,9.38252734375,-6.23403125,-15.18142578125,1.53458203125,4.01225,-8.16951953125,-7.2421015625,-5.38182421875,-5.25003515625,0.3468671875,-9.1136796875,-7.46889453125,-12.60525,-4.65218359375
3.6916875,2.65473046875,5.33640234375,11.91382421875,5.06851953125,6.37205859375,9.1978046875,9.28103515625,-0.87987109375,-0.361359375,4.6950859375,2.929203125,-3.69061328125,4.3758203125,-0.6449921875,5.6619921875,9.36352734375,-5.52203125,-14.36542578125,1.73258203125,4.26225,-8.54351953125,-7.2021015625,-5.43582421875,-5.63903515625,-0.8711328125,-10.3376796875,-8.92789453125,-14.13325,-6.54218359375
0.5566875,1.92473046875,7.06840234375,10.18682421875,5.48651953125,5.35805859375,8.2948046875,6.48703515625,-0.54587109375,-0.170359375,4.0770859375,2.265203125,-2.69061328125,5.4738203125,-0.840992187499999,5.4969921875,8.30752734375,-4.35303125,-13.35542578125,1.50658203125,3.77725,-8.15551953125,-6.3681015625,-5.09382421875,-5.92403515625,-2.3441328125,-10.5596796875,-9.48789453125,-14.79125,-7.90318359375
-0.2983125,1.11873046875,6.25540234375,9.60982421875,5.16751953125,3.66405859375,6.0408046875,3.44703515625,-0.77487109375,-0.992359375,2.6130859375,1.786203125,-1.44761328125,6.0128203125,-1.8249921875,4.3469921875,6.33852734375,-3.16603125,-12.59942578125,0.63558203125,2.41425,-7.18551953125,-5.0851015625,-4.61882421875,-6.27503515625,-3.6221328125,-9.8596796875,-9.05489453125,-14.19525,-8.20518359375
1.6576875,0.29973046875,2.79840234375,10.37282421875,4.03651953125,1.47905859375,2.7838046875,0.80603515625,-1.52887109375,-2.752359375,0.4070859375,1.311203125,-0.51761328125,5.7118203125,-3.6469921875,2.1389921875,3.82952734375,-2.40203125,-12.45142578125,-0.95741796875,0.27025,-5.93651953125,-3.8621015625,-4.34482421875,-6.99903515625,-4.4411328125,-8.6626796875,-7.86389453125,-12.36225,-7.31318359375
5.8316875,-0.47326953125,-2.39559765625,12.18482421875,2.29851953125,-0.80794140625,-0.7191953125,-0.95296484375,-2.56887109375,-5.032359375,-2.1579140625,0.553203125,-0.28861328125,4.5678203125,-6.0239921875,-0.9120078125,1.25952734375,-2.35203125,-12.99842578125,-3.12641796875,-2.32575,-4.72751953125,-3.1801015625,-4.54482421875,-8.39203515625,-4.8601328125,-7.5426796875,-6.37389453125,-9.72025,-5.55918359375
10.6206875,-1.17826953125,-7.70659765625,14.36482421875,0.39051953125,-2.76994140625,-3.6231953125,-1.63496484375,-3.61587109375,-7.224359375,-4.5639140625,-0.631796875,-0.83561328125,2.8498203125,-8.4369921875,-4.3080078125,-0.95447265625,-3.04703125,-14.04642578125,-5.52141796875,-4.91875,-3.78251953125,-3.3081015625,-5.33182421875,-10.59103515625,-5.2051328125,-6.9876796875,-5.07489453125,-6.95725,-3.61718359375
14.0766875,-1.82026953125,-11.45959765625,16.12582421875,-1.17048046875,-4.13994140625,-5.3751953125,-1.39896484375,-4.48687109375,-8.763359375,-6.3369140625,-2.025796875,-1.94861328125,0.9878203125,-10.3479921875,-7.3770078125,-2.54347265625,-4.25503125,-15.22442578125,-7.68441796875,-7.06875,-3.16451953125,-4.2181015625,-6.61182421875,-13.46903515625,-5.8531328125,-7.2316796875,-4.31289453125,-4.77525,-2.22418359375
14.8386875,-2.38826953125,-12.62059765625,16.93682421875,-2.00648046875,-4.87894140625,-5.8771953125,-0.66496484375,-5.12687109375,-9.348359375,-7.2079140625,-3.106796875,-3.24961328125,-0.5791796875,-11.4079921875,-9.4670078125,-3.38647265625,-5.56303125,-16.15042578125,-9.18741796875,-8.43175,-2.79351953125,-5.6031015625,-8.11182421875,-16.63503515625,-6.9761328125,-8.1906796875,-4.19889453125,-3.63325,-1.86318359375
12.7536875,-2.83926953125,-11.16059765625,16.75682421875,-2.04248046875,-5.12794140625,-5.4171953125,0.12703515625,-5.54987109375,-9.034359375,-7.1699140625,-3.390796875,-4.30261328125,-1.5201796875,-11.5479921875,-10.1700078125,-3.46647265625,-6.53603125,-16.54242578125,-9.74441796875,-8.79475,-2.52551953125,-6.9901015625,-9.44582421875,-19.52103515625,-8.4201328125,-9.5066796875,-4.63889453125,-3.59925,-2.56018359375
8.7976875,-3.10826953125,-7.94559765625,16.02382421875,-1.50548046875,-5.09194140625,-4.4771953125,0.77703515625,-5.78087109375,-8.154359375,-6.4469140625,-2.800796875,-4.67661328125,-1.6501796875,-10.9319921875,-9.4650078125,-2.84247265625,-6.85403125,-16.26642578125,-9.27541796875,-8.09475,-2.25651953125,-7.8901015625,-10.22082421875,-21.57303515625,-9.8021328125,-10.6946796875,-5.43489453125,-4.38625,-3.92418359375
4.4816875,-3.13926953125,-4.27259765625,15.39082421875,-0.76548046875,-4.92794140625,-3.4911953125,1.41303515625,-5.83887109375,-7.115359375,-5.3619140625,-1.750796875,-4.03561328125,-0.9351796875,-9.8159921875,-7.7150078125,-1.63547265625,-6.41403125,-15.33942578125,-7.90441796875,-6.44575,-2.00051953125,-7.9671015625,-10.15582421875,-22.45103515625,-10.7591328125,-11.3276796875,-6.40889453125,-5.54625,-5.41318359375
1.2286875,-2.88826953125,-1.30659765625,15.37182421875,-0.14448046875,-4.63294140625,-2.6131953125,2.33403515625,-5.72287109375,-6.183359375,-4.1889140625,-0.830796875,-2.30161328125,0.5198203125,-8.4079921875,-5.5000078125,-0.00547265625000026,-5.35103125,-13.89342578125,-5.91141796875,-4.14275,-1.88551953125,-7.1551015625,-9.17382421875,-22.12603515625,-11.1321328125,-11.1906796875,-7.46689453125,-6.68825,-6.61118359375
0.00568749999999962,-2.32226953125,0.31940234375,16.10982421875,0.21951953125,-4.01794140625,-1.6441953125,3.68803515625,-5.39187109375,-5.377359375,-3.0489140625,-0.346796875,0.24338671875,2.4998203125,-6.7819921875,-3.3630078125,1.88052734375,-3.96503125,-12.12542578125,-3.64141796875,-1.60075,-2.05951953125,-5.6571015625,-7.43282421875,-20.82403515625,-10.9781328125,-10.3296796875,-8.52889453125,-7.57825,-7.35418359375
1.1206875,-1.45926953125,0.62540234375,17.35382421875,0.39551953125,-2.85894140625,-0.2671953125,5.24803515625,-4.75987109375,-4.516359375,-1.9109140625,-0.083796875,3.03638671875,4.7148203125,-4.9049921875,-1.6150078125,3.83452734375,-2.57103125,-10.23842578125,-1.41341796875,0.74425,-2.53451953125,-3.8151015625,-5.24882421875,-18.88703515625,-10.4381328125,-8.9626796875,-9.40089453125,-8.10125,-7.64318359375
4.1296875,-0.43126953125,0.12540234375,18.66082421875,0.58651953125,-1.12994140625,1.5678046875,6.49603515625,-3.74987109375,-3.372359375,-0.6879140625,0.525203125,5.48838671875,6.8618203125,-2.7469921875,-0.2910078125,5.60952734375,-1.34503125,-8.39242578125,0.53658203125,2.54825,-3.09251953125,-1.9331015625,-2.97982421875,-16.64803515625,-9.5961328125,-7.3396796875,-9.72889453125,-8.16425,-7.49818359375
7.9586875,0.50273046875,-0.482597656249999,19.70782421875,1.01351953125,0.88405859375,3.4898046875,6.98903515625,-2.38787109375,-1.859359375,0.6450859375,1.964203125,7.23338671875,8.6768203125,-0.410992187499999,0.7219921875,6.89852734375,-0.28103125,-6.70442578125,2.06058203125,3.62925,-3.35851953125,-0.184101562500001,-0.94982421875,-14.39403515625,-8.4741328125,-5.6586796875,-9.14689453125,-7.68625,-6.89318359375
11.2796875,1.05573046875,-0.66159765625,20.49282421875,1.79151953125,2.69505859375,4.9158046875,6.71003515625,-0.88287109375,-0.155359375,1.9740859375,4.262203125,8.21738671875,9.9408203125,1.7840078125,1.5149921875,7.42452734375,0.69996875,-5.29142578125,3.03858203125,3.96625,-3.02951953125,1.3328984375,0.56417578125,-12.38503515625,-7.1341328125,-4.0796796875,-7.56189453125,-6.68125,-5.84418359375
12.9856875,1.07873046875,-0.27459765625,21.25782421875,2.85051953125,3.84705859375,5.4218046875,6.08803515625,0.38912890625,1.301640625,3.0340859375,6.942203125,8.58938671875,10.4578203125,3.3590078125,2.0519921875,7.09452734375,1.59696875,-4.33542578125,3.33758203125,3.67225,-2.07251953125,2.4868984375,1.31817578125,-10.87303515625,-5.7561328125,-2.8046796875,-5.33589453125,-5.35425,-4.51418359375
12.5186875,0.65373046875,0.39840234375,22.15782421875,3.93251953125,4.08205859375,4.9448046875,5.64903515625,1.00412890625,1.980640625,3.4850859375,9.264203125,8.52738671875,10.0488203125,3.8410078125,2.1939921875,6.12552734375,2.25796875,-4.08142578125,2.84858203125,2.94625,-0.77051953125,3.0738984375,1.14817578125,-10.06803515625,-4.5761328125,-2.0826796875,-3.20189453125,-4.08525,-3.20218359375
