"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
10.329359375,10.61508984375,8.97246875,4.2561484375,6.8369375,11.10955859375,-1.78760546875,6.2158125,10.0513359375,5.181390625,-1.30241015625,-2.75783203125,4.4092109375,3.0637578125,0.19950390625,4.5712109375,4.2362578125,19.90111328125,4.21912890625,-0.505578125,0.90441796875,11.86546875,5.98015234375,2.7097109375,1.460296875,6.6336875,6.41864453125,8.52433203125,15.05861328125,11.090765625
8.175359375,10.42008984375,7.96846875,3.6521484375,5.7449375,7.24955859375,-4.77960546875,4.8128125,7.6243359375,3.591390625,-2.32741015625,-2.68583203125,3.1492109375,3.4577578125,-0.50549609375,4.1582109375,5.0852578125,21.44011328125,5.09312890625,-0.227578125,1.92441796875,13.26746875,7.33515234375,4.1457109375,1.957296875,8.6536875,7.56964453125,9.99033203125,16.26861328125,11.011765625
7.671359375,11.10808984375,8.36446875,3.8421484375,5.5649375,5.94555859375,-5.22060546875,4.4288125,6.6773359375,3.124390625,-2.16941015625,-1.98783203125,2.2502109375,3.8707578125,-0.31349609375,4.6612109375,5.2822578125,22.40311328125,6.08412890625,0.521421875,2.69141796875,13.88746875,8.40415234375,5.2257109375,2.367296875,9.5456875,8.07664453125,10.17133203125,16.29861328125,10.241765625
9.081359375,12.94808984375,10.49946875,4.9771484375,6.5649375,7.38755859375,-3.04160546875,5.2838125,7.3923359375,4.135390625,-0.56541015625,-0.500832031250001,2.1952109375,4.5547578125,1.11250390625,6.2422109375,4.9892578125,22.88311328125,7.29512890625,1.859421875,3.31741796875,13.76146875,9.15515234375,6.0347109375,2.833296875,9.3186875,8.04564453125,9.14333203125,15.22161328125,8.943765625
12.211359375,15.95608984375,14.32146875,6.9831484375,8.7659375,11.03555859375,1.04939453125,7.3518125,9.5273359375,6.667390625,2.35558984375,1.74416796875,3.4032109375,5.7577578125,3.80450390625,8.7482109375,4.6582578125,23.11211328125,8.72912890625,3.723421875,3.97341796875,13.11146875,9.55215234375,6.6877109375,3.493296875,8.3006875,7.71664453125,7.33933203125,13.44461328125,7.509765625
16.485359375,19.83208984375,19.35746875,9.5761484375,11.9109375,15.90755859375,5.93839453125,10.3678125,12.5123359375,10.348390625,6.06958984375,4.50016796875,5.8902109375,7.5107578125,7.34550390625,11.7202109375,4.8192578125,23.25411328125,10.18012890625,5.841421875,4.74741796875,12.15646875,9.48815234375,7.1717109375,4.340296875,6.9436875,7.24964453125,5.23333203125,11.43161328125,6.307765625
21.091359375,23.99408984375,24.79146875,12.3071484375,15.4859375,20.86655859375,10.49439453125,13.8528125,15.5683359375,14.403390625,9.78158984375,7.34616796875,9.0692109375,9.5067578125,10.91550390625,14.5162109375,5.8142578125,23.26011328125,11.23112890625,7.766421875,5.56541796875,10.97646875,8.78115234375,7.2707109375,5.158296875,5.6236875,6.58864453125,3.10633203125,9.47761328125,5.478765625
25.211359375,27.75208984375,29.68446875,14.6521484375,18.8319375,24.86755859375,13.85939453125,17.1928125,17.8793359375,17.853390625,12.68258984375,9.80316796875,11.8642109375,11.1717578125,13.54150390625,16.4942109375,7.6092578125,22.89111328125,11.39912890625,9.009421875,6.20341796875,9.52446875,7.26815234375,6.6517109375,5.590296875,4.5366875,5.52464453125,0.99933203125,7.64061328125,4.896765625
28.275359375,30.56008984375,33.29246875,16.1801484375,21.3339375,27.19955859375,15.63439453125,19.7998125,18.8583359375,19.843390625,14.20658984375,11.49416796875,13.1772109375,11.9127578125,14.47350390625,17.2302109375,9.7902578125,21.90011328125,10.37712890625,9.206421875,6.40241796875,7.77146875,4.97115234375,5.0767109375,5.309296875,3.6866875,3.89064453125,-1.14966796875,5.85061328125,4.300765625
30.150359375,32.22808984375,35.34646875,16.7191484375,22.5989375,27.65455859375,15.93039453125,21.3148125,18.3873359375,19.969390625,14.20558984375,12.27816796875,12.4902109375,11.4087578125,13.49850390625,16.6642109375,11.7612578125,20.27911328125,8.24912890625,8.282421875,6.00141796875,5.86746875,2.22315234375,2.6147109375,4.218296875,2.9576875,1.77864453125,-3.31566796875,4.08961328125,3.522765625
31.095359375,32.94308984375,36.11846875,16.4191484375,22.5339375,26.50755859375,15.21039453125,21.7158125,16.8493359375,18.410390625,12.94058984375,12.27816796875,10.2052109375,9.7777578125,11.02050390625,15.1082109375,13.0412578125,18.36911328125,5.53112890625,6.500421875,5.04541796875,4.16846875,-0.36484765625,-0.2812890625,2.549296875,2.2566875,-0.39235546875,-5.28366796875,2.52561328125,2.631765625
31.518359375,33.09908984375,36.22246875,15.6591484375,21.2949375,24.28455859375,13.99039453125,21.2648125,14.8963359375,15.779390625,10.90758984375,11.78216796875,7.4332109375,7.5097578125,7.86350390625,13.0942109375,13.4682578125,16.74711328125,2.97112890625,4.360421875,3.80441796875,3.09546875,-2.11784765625,-2.9032890625,0.795296875,1.6186875,-2.00135546875,-6.71666796875,1.48661328125,1.917765625
31.683359375,33.00808984375,36.24546875,14.8541484375,19.1719375,21.49655859375,12.56539453125,20.3368125,13.0993359375,12.806390625,8.58358984375,11.08416796875,5.3692109375,5.1957578125,4.88050390625,11.1352109375,13.2002578125,15.92311328125,1.21612890625,2.400421875,2.65641796875,2.88846875,-2.59384765625,-4.5762890625,-0.494703125,1.2096875,-2.52435546875,-7.34366796875,1.29061328125,1.696765625
31.553359375,32.68608984375,36.39846875,14.2541484375,16.4829375,18.48655859375,10.92439453125,19.2338125,11.7093359375,10.014390625,6.23358984375,10.34016796875,4.6592109375,3.2247578125,2.59150390625,9.5302109375,12.5232578125,16.03411328125,0.512128906250001,0.981421875,1.91041796875,3.42446875,-1.81084765625,-4.9492890625,-0.972703125,1.2046875,-1.82535546875,-7.16566796875,2.00961328125,2.081765625
30.825359375,31.84908984375,36.39746875,13.8411484375,13.5209375,15.41755859375,8.85039453125,18.0608125,10.6083359375,7.582390625,3.87858984375,9.53016796875,5.1302109375,1.6337578125,1.03950390625,8.2982109375,11.6482578125,16.73111328125,0.627128906250001,0.182421875,1.65641796875,4.20946875,-0.25484765625,-4.1432890625,-0.647703125,1.6096875,-0.25735546875,-6.52266796875,3.34961328125,2.861765625
29.117359375,30.12008984375,35.62546875,13.3831484375,10.5609375,12.36155859375,6.14739453125,16.7338125,9.4893359375,5.440390625,1.45258984375,8.53616796875,6.0142109375,0.2327578125,-0.0594960937500004,7.2982109375,10.6082578125,17.37311328125,1.03412890625,-0.142578125,1.76341796875,4.59446875,1.34415234375,-2.6502890625,0.165296875,2.2076875,1.51364453125,-5.94266796875,4.76461328125,3.612765625
26.235359375,27.30508984375,33.48646875,12.6191484375,7.9059375,9.44655859375,2.87939453125,15.1108125,8.1393359375,3.509390625,-0.970410156249999,7.29816796875,6.4622109375,-1.1282421875,-0.98849609375,6.4272109375,9.3272578125,17.40611328125,1.24812890625,-0.176578125,2.00241796875,4.11246875,2.37015234375,-1.0532890625,1.069296875,2.6486875,2.85764453125,-5.85366796875,5.72861328125,3.964765625
22.318359375,23.54008984375,29.73246875,11.4391484375,5.8819375,6.97055859375,-0.52360546875,13.1468125,6.6463359375,1.892390625,-3.05841015625,5.91116796875,6.0132109375,-2.3472421875,-1.77949609375,5.7582109375,7.7532578125,16.67011328125,1.09012890625,0.00142187500000013,2.18441796875,2.73346875,2.57415234375,0.2367109375,1.797296875,2.6266875,3.48064453125,-6.35766796875,5.98761328125,3.821765625
