"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-29.944375,-10.81157421875,-10.8788984375,-20.09884375,-21.21551953125,-26.10634765625,-9.4526640625,-0.31589453125,-14.3076953125,-27.3928671875,-24.74324609375,-15.60144140625,-5.820578125,-21.90301171875,-20.49536328125,-20.93325390625,-3.4540234375,-24.0611875,-21.1244765625,-18.578625,-10.51907421875,-7.5124453125,-10.00723046875,-17.69021484375,-12.93198046875,-6.9851015625,-9.87007421875,-12.93394140625,-1.2063046875,-5.95159765625
-32.395375,-10.61157421875,-13.3968984375,-23.23584375,-24.38151953125,-28.63834765625,-13.1586640625,-3.54589453125,-15.2116953125,-27.5558671875,-25.47924609375,-15.66644140625,-6.699578125,-20.81301171875,-20.73236328125,-20.85025390625,-5.5060234375,-23.9251875,-20.5894765625,-18.688625,-11.46107421875,-7.4524453125,-8.81623046875,-17.17321484375,-13.72298046875,-8.3171015625,-9.87507421875,-14.53694140625,-2.6203046875,-8.32959765625
-32.821375,-9.80857421875,-14.1598984375,-23.77784375,-24.76651953125,-29.28634765625,-14.5966640625,-5.10389453125,-14.5016953125,-26.4098671875,-25.06024609375,-15.60244140625,-6.136578125,-18.62401171875,-19.82836328125,-20.28425390625,-6.6440234375,-22.6071875,-18.9974765625,-17.568625,-11.82507421875,-6.5034453125,-6.71823046875,-15.01921484375,-13.07998046875,-9.1491015625,-8.71807421875,-13.82094140625,-2.0233046875,-9.07859765625
-31.241375,-8.35757421875,-13.1648984375,-21.61684375,-22.33951953125,-27.79834765625,-13.6026640625,-4.92489453125,-12.1856953125,-23.6948671875,-23.16324609375,-15.21444140625,-4.028578125,-15.40801171875,-17.55036328125,-18.95425390625,-6.4940234375,-20.1371875,-16.3604765625,-15.052625,-11.50707421875,-4.8604453125,-3.96623046875,-11.32621484375,-10.96998046875,-9.3741015625,-6.47907421875,-11.06694140625,0.3546953125,-8.22059765625
-28.321375,-6.43957421875,-10.9448984375,-17.48084375,-17.92151953125,-24.47334765625,-10.7066640625,-3.48889453125,-8.7866953125,-19.5438671875,-19.79524609375,-14.34944140625,-0.752578125,-11.62001171875,-14.00736328125,-16.71525390625,-4.9870234375,-16.9851875,-13.0714765625,-11.376625,-10.55907421875,-3.1084453125,-1.26323046875,-6.84221484375,-7.88098046875,-9.0511015625,-3.76707421875,-7.54194140625,3.4636953125,-6.38459765625
-24.981375,-4.38557421875,-8.2548984375,-12.56484375,-12.71351953125,-19.99534765625,-6.8456640625,-1.55789453125,-5.0126953125,-14.4318671875,-15.32024609375,-12.99244140625,3.024421875,-7.83201171875,-9.61036328125,-13.66325390625,-2.4820234375,-13.8461875,-9.6934765625,-7.090625,-9.16007421875,-1.9184453125,0.567769531250001,-2.63321484375,-4.59798046875,-8.3981015625,-1.48107421875,-4.90194140625,5.9236953125,-4.49959765625
-22.001375,-2.53857421875,-5.7658984375,-8.04584375,-7.82651953125,-15.17934765625,-3.0116640625,0.14510546875,-1.4466953125,-9.0248671875,-10.36124609375,-11.27244140625,6.640421875,-4.47901171875,-4.94736328125,-10.13825390625,0.3339765625,-11.3531875,-6.7324765625,-2.873625,-7.56207421875,-1.7044453125,0.94076953125,0.341785156249999,-1.88198046875,-7.6971015625,-0.44907421875,-4.43494140625,6.6136953125,-3.41259765625
-19.794375,-1.13157421875,-3.9158984375,-4.68884375,-4.01451953125,-10.75034765625,0.0373359374999995,1.17310546875,1.5803046875,-4.0138671875,-5.62124609375,-9.39744140625,9.637421875,-1.76101171875,-0.63636328125,-6.62625390625,2.7379765625,-9.8841875,-4.5034765625,0.647374999999999,-6.02307421875,-2.4604453125,-0.27323046875,1.53878515625,-0.23098046875,-7.1781015625,-1.12207421875,-6.56294140625,5.0656953125,-3.60459765625
-18.399375,-0.24957421875,-2.8758984375,-2.68984375,-1.59251953125,-7.21334765625,1.9573359375,1.42110546875,3.9523046875,0.0101328125000002,-1.72424609375,-7.58944140625,11.803421875,0.296988281250001,2.79663671875,-3.62625390625,4.2359765625,-9.5141875,-3.1344765625,3.033375,-4.75407421875,-3.8354453125,-2.75323046875,0.921785156249999,0.21601953125,-6.9381015625,-3.46607421875,-10.79394140625,1.5396953125,-5.09259765625
-17.620375,0.13642578125,-2.6018984375,-1.79484375,-0.501519531250001,-4.82634765625,2.8203359375,1.05510546875,5.6403046875,2.6311328125,0.91875390625,-6.05644140625,13.067421875,1.72298828125,5.00463671875,-1.53425390625,4.6729765625,-10.0841875,-2.6164765625,4.098375,-3.88007421875,-5.3514453125,-5.88723046875,-1.13521484375,-0.36098046875,-6.9431015625,-7.01707421875,-16.02594140625,-3.1493046875,-7.50759765625
