"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-34.652875,-46.8036171875,-41.36543359375,-15.3420390625,-16.50944921875,-40.314984375,-44.97568359375,-23.925125,-40.7539765625,-40.90434765625,-48.74283984375,-33.99669140625,-9.7929140625,-32.9844921875,-47.12765625,-56.08350390625,-15.28848046875,-32.561390625,-38.189890625,-47.60811328125,-35.75512109375,-36.5834765625,-29.78176171875,-35.83021484375,-36.8574453125,-50.76288671875,-22.94420703125,-2.35387109375,-29.1170625,-24.838890625
-43.737875,-49.5596171875,-47.07443359375,-17.7120390625,-15.63144921875,-44.894984375,-47.12568359375,-25.015125,-45.6039765625,-45.16834765625,-52.55883984375,-37.28069140625,-20.5579140625,-40.1234921875,-51.10865625,-57.91450390625,-28.62748046875,-38.368390625,-41.252890625,-48.61111328125,-38.82412109375,-40.8084765625,-33.49976171875,-38.73421484375,-40.7284453125,-54.06688671875,-26.23120703125,-6.30187109375,-32.8020625,-26.621890625
-47.732875,-50.4066171875,-49.78143359375,-19.1680390625,-15.08044921875,-47.217984375,-48.91568359375,-26.576125,-48.4019765625,-47.12734765625,-54.51183984375,-40.94269140625,-27.3189140625,-44.1634921875,-52.78565625,-58.64250390625,-39.44148046875,-41.501390625,-43.025890625,-48.44711328125,-42.11412109375,-43.5864765625,-35.41576171875,-40.59721484375,-44.2634453125,-54.68988671875,-28.29420703125,-9.97787109375,-35.8980625,-28.797890625
-46.633875,-49.1716171875,-49.37243359375,-19.7740390625,-14.77844921875,-47.276984375,-50.09168359375,-28.590125,-48.9899765625,-46.85334765625,-54.50383984375,-44.86269140625,-29.8929140625,-45.1394921875,-52.19765625,-58.15350390625,-46.53648046875,-41.945390625,-43.548890625,-47.19711328125,-45.06112109375,-44.6054765625,-35.65276171875,-41.42121484375,-47.1664453125,-53.27588671875,-29.03820703125,-13.03087109375,-38.1680625,-31.219890625
-42.088875,-46.3836171875,-46.72343359375,-19.9440390625,-14.69444921875,-45.817984375,-50.54068359375,-30.923125,-47.8939765625,-45.21634765625,-53.03583984375,-48.64969140625,-29.3009140625,-44.0504921875,-50.18465625,-56.73050390625,-49.24648046875,-40.533390625,-43.310890625,-45.38711328125,-46.97912109375,-43.6934765625,-34.96176171875,-41.53621484375,-49.1434453125,-51.20088671875,-28.74420703125,-15.00987109375,-39.4520625,-33.469890625
-36.498875,-43.0756171875,-43.27143359375,-20.2120390625,-14.96844921875,-43.962984375,-50.41468359375,-33.414125,-46.0739765625,-43.45234765625,-50.96283984375,-51.78769140625,-27.1829140625,-42.2624921875,-47.96165625,-54.99450390625,-47.83048046875,-38.493390625,-43.011890625,-43.76611328125,-47.55112109375,-40.7724765625,-34.32076171875,-41.42121484375,-50.0424453125,-49.51788671875,-27.95420703125,-15.56987109375,-39.7440625,-35.046890625
-32.041875,-40.4036171875,-40.45043359375,-20.9550390625,-15.85044921875,-42.779984375,-50.10868359375,-35.934125,-44.5179765625,-42.68234765625,-49.20383984375,-53.89769140625,-25.1339140625,-40.9464921875,-46.63665625,-53.69850390625,-43.53648046875,-36.932390625,-43.259890625,-43.00611328125,-47.07512109375,-36.1324765625,-34.50876171875,-41.51021484375,-49.9544453125,-48.34488671875,-27.30220703125,-14.76187109375,-39.3140625,-35.665890625
-30.055875,-39.2756171875,-39.26143359375,-22.2700390625,-17.57344921875,-43.001984375,-50.12368359375,-38.418125,-43.9379765625,-43.58934765625,-48.50683984375,-54.93069140625,-24.2429140625,-40.7734921875,-46.85865625,-53.44550390625,-38.25448046875,-36.516390625,-44.370890625,-43.45811328125,-46.30512109375,-30.7734765625,-35.84676171875,-42.05621484375,-49.2064453125,-47.03288671875,-27.34220703125,-13.21387109375,-38.7400625,-35.466890625
-30.853875,-40.1176171875,-40.01943359375,-24.0140390625,-20.23844921875,-44.868984375,-50.85668359375,-40.822125,-44.6089765625,-46.28334765625,-49.26483984375,-55.12169140625,-24.8679140625,-41.8614921875,-48.68665625,-54.40250390625,-33.83948046875,-37.375390625,-46.259890625,-45.01511328125,-45.96012109375,-26.3324765625,-38.15876171875,-43.03021484375,-48.1884453125,-44.80888671875,-28.33820703125,-11.95187109375,-38.7010625,-34.911890625
-33.855875,-42.7516171875,-42.31543359375,-25.9180390625,-23.71744921875,-48.063984375,-52.38768359375,-43.011125,-46.3529765625,-50.28434765625,-51.36383984375,-54.76769140625,-26.6339140625,-43.8854921875,-51.62765625,-56.15850390625,-31.40548046875,-39.188390625,-48.471890625,-47.13311328125,-46.25312109375,-24.4484765625,-40.90676171875,-44.12021484375,-47.1284453125,-41.37688671875,-30.12020703125,-11.91287109375,-39.6050625,-34.442890625
-37.937875,-46.4196171875,-45.21043359375,-27.6840390625,-27.56644921875,-51.803984375,-54.38268359375,-44.681125,-48.6619765625,-54.67834765625,-54.19883984375,-54.09269140625,-28.6719140625,-46.3154921875,-54.85265625,-57.88250390625,-31.00548046875,-41.412390625,-50.390890625,-49.06811328125,-46.80312109375,-25.9684765625,-43.46276171875,-44.90121484375,-46.0314453125,-37.17288671875,-32.16220703125,-13.47987109375,-41.3380625,-34.195890625
-41.867875,-50.0196171875,-47.63343359375,-29.0800390625,-31.06544921875,-55.128984375,-56.22368359375,-45.447125,-50.9299765625,-58.44034765625,-56.89983984375,-53.28569140625,-30.0819140625,-48.7064921875,-57.54665625,-58.75550390625,-31.89648046875,-43.581390625,-51.586890625,-50.26311328125,-46.99212109375,-30.5644765625,-45.43876171875,-45.15321484375,-44.8864453125,-33.25988671875,-33.89720703125,-16.38387109375,-43.3750625,-34.036890625
-44.658875,-52.4986171875,-48.80043359375,-29.9770390625,-33.46844921875,-57.238984375,-57.30368359375,-45.057125,-52.6729765625,-60.78434765625,-58.68883984375,-52.59069140625,-30.3769140625,-50.8534921875,-59.21665625,-58.39650390625,-33.15448046875,-45.475390625,-52.076890625,-50.63011328125,-46.43512109375,-36.9304765625,-46.86176171875,-45.05421484375,-43.9204453125,-30.93988671875,-35.05820703125,-19.96387109375,-45.1390625,-33.868890625
-45.752875,-53.2136171875,-48.45443359375,-30.3030390625,-34.32744921875,-57.723984375,-57.28568359375,-43.570125,-53.5989765625,-61.38834765625,-59.14383984375,-52.22269140625,-29.6369140625,-52.7284921875,-59.79265625,-56.99750390625,-34.20348046875,-47.073390625,-52.292890625,-50.52511328125,-45.19212109375,-43.3574765625,-48.08176171875,-45.09721484375,-43.6154453125,-31.27388671875,-35.77120703125,-23.51787109375,-46.3240625,-33.908890625
-45.114875,-52.1276171875,-46.88043359375,-29.9750390625,-33.68944921875,-56.632984375,-56.19468359375,-41.392125,-53.5509765625,-60.42834765625,-58.29483984375,-52.21269140625,-28.3149140625,-54.2934921875,-59.53265625,-55.13050390625,-34.97548046875,-48.384390625,-52.780890625,-50.46911328125,-43.62812109375,-48.3384765625,-49.47376171875,-45.76221484375,-44.4724453125,-34.67488671875,-36.39620703125,-26.53187109375,-46.9820625,-34.681890625
-43.276875,-49.8136171875,-44.78943359375,-28.9280390625,-32.09144921875,-54.462984375,-54.38668359375,-39.174125,-52.4959765625,-58.49034765625,-56.57383984375,-52.35769140625,-26.8959140625,-55.4104921875,-58.84765625,-53.44450390625,-35.75548046875,-49.345390625,-53.853890625,-50.86211328125,-42.20212109375,-50.9814765625,-51.17176171875,-47.24121484375,-46.7264453125,-40.73388671875,-37.27120703125,-28.74887109375,-47.3880625,-36.712890625
-41.236875,-47.3026171875,-43.11643359375,-27.2760390625,-30.40044921875,-52.064984375,-52.47268359375,-37.611125,-50.6259765625,-56.40434765625,-54.67183984375,-52.34669140625,-25.6289140625,-55.8884921875,-58.16965625,-52.46150390625,-36.84448046875,-49.852390625,-55.424890625,-51.86411328125,-41.35112109375,-51.1014765625,-52.98876171875,-49.34921484375,-50.2194453125,-48.28588671875,-38.52820703125,-30.09587109375,-47.8210625,-40.122890625
-40.129875,-45.7626171875,-42.72943359375,-25.4410390625,-29.55544921875,-50.398984375,-51.15268359375,-37.182125,-48.4399765625,-55.00434765625,-53.31083984375,-51.95569140625,-24.4879140625,-55.6044921875,-57.85065625,-52.48950390625,-38.25348046875,-49.833390625,-57.082890625,-53.42211328125,-41.45812109375,-49.0814765625,-54.51376171875,-51.64721484375,-54.4524453125,-55.72088671875,-40.05120703125,-30.60087109375,-48.3830625,-44.415890625
-40.737875,-46.0356171875,-44.09143359375,-24.0890390625,-30.20944921875,-50.177984375,-50.95668359375,-37.957125,-46.6669765625,-54.86534765625,-52.97883984375,-51.19169140625,-23.3739140625,-54.6244921875,-58.07965625,-53.61250390625,-39.58448046875,-49.308390625,-58.328890625,-55.37111328125,-42.78312109375,-45.6584765625,-55.32876171875,-53.67121484375,-58.7544453125,-61.54988671875,-41.57720703125,-30.37187109375,-49.0070625,-48.638890625
-43.119875,-48.2426171875,-47.01243359375,-23.8490390625,-32.40544921875,-51.567984375,-51.98268359375,-39.567125,-46.0059765625,-56.10234765625,-53.75783984375,-50.33069140625,-22.3859140625,-53.2804921875,-58.84965625,-55.69650390625,-40.22548046875,-48.426390625,-58.864890625,-57.52611328125,-45.32812109375,-41.7604765625,-55.23976171875,-55.16121484375,-62.4754453125,-65.03488671875,-42.87620703125,-29.65687109375,-49.5960625,-51.837890625
-46.551875,-51.6776171875,-50.65643359375,-24.9760390625,-35.46444921875,-54.100984375,-53.81768359375,-41.391125,-46.8019765625,-58.32034765625,-55.31183984375,-49.77669140625,-21.9109140625,-52.0984921875,-59.97265625,-58.38950390625,-39.71348046875,-47.444390625,-58.747890625,-59.72511328125,-48.71112109375,-38.3314765625,-54.39976171875,-56.15121484375,-65.1374453125,-66.46288671875,-43.88120703125,-28.82487109375,-50.1510625,-53.486890625
-49.813875,-55.0926171875,-53.82743359375,-27.1480390625,-38.23144921875,-56.827984375,-55.69468359375,-42.803125,-48.8079765625,-60.72634765625,-57.03283984375,-49.79569140625,-22.3819140625,-51.5494921875,-61.14065625,-61.14550390625,-38.02148046875,-46.615390625,-58.312890625,-61.82211328125,-52.19412109375,-36.0764765625,-53.21076171875,-56.85421484375,-66.4854453125,-66.76388671875,-44.63320703125,-28.18687109375,-50.7190625,-53.586890625
