"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-4.70663671875,-9.4859375,-13.99577734375,-10.70094921875,-10.594734375,-15.6850859375,1.20537109375,-18.28483984375,-10.7858828125,-4.2484375,-13.40036328125,-17.87896484375,-17.01476171875,1.948578125,-8.34119140625,-7.03823046875,-2.2419921875,-1.7761015625,-3.268203125,-2.1879140625,-6.10387890625,5.90656640625,4.22944140625,4.5228984375,3.690109375,-2.14130078125,30.0408203125,17.2666640625,21.2792578125,16.28725390625
-3.37563671875,-5.1789375,-10.54477734375,-10.23994921875,-10.153734375,-11.0050859375,-12.63862890625,-18.16583984375,-9.7888828125,-4.0044375,-8.65136328125,-13.70596484375,-21.52376171875,-3.961421875,-3.37419140625,-7.24623046875,-0.4189921875,-2.0081015625,-2.629203125,0.8700859375,-5.08087890625,2.99256640625,2.15844140625,3.6508984375,3.045109375,-3.26230078125,26.3068203125,14.9436640625,17.8462578125,12.70125390625
-3.38163671875,-3.7819375,-9.43877734375,-10.99694921875,-10.026734375,-8.0110859375,-20.73562890625,-18.62683984375,-10.0368828125,-3.4364375,-5.52436328125,-12.24196484375,-24.36776171875,-7.565421875,0.0498085937500004,-7.89723046875,-0.2519921875,-3.6811015625,-3.059203125,1.8420859375,-5.64287890625,-0.62743359375,-1.23255859375,1.3138984375,1.140109375,-4.27930078125,21.6268203125,10.9616640625,13.2002578125,8.81225390625
-4.50563671875,-4.9439375,-10.42377734375,-12.70594921875,-10.164734375,-6.8780859375,-23.57162890625,-19.82883984375,-11.2228828125,-2.9764375,-4.47936328125,-13.56096484375,-25.22276171875,-9.026421875,1.23480859375,-9.24923046875,-1.6229921875,-6.3471015625,-4.585203125,0.5010859375,-7.46787890625,-4.31643359375,-5.16555859375,-2.0191015625,-1.583890625,-4.83030078125,16.9078203125,6.3696640625,8.2802578125,5.32925390625
-6.06463671875,-7.3309375,-12.43577734375,-14.59594921875,-10.414734375,-7.3170859375,-23.15762890625,-21.57083984375,-12.5488828125,-3.1904375,-5.55636328125,-16.80596484375,-24.22576171875,-9.114421875,-0.13819140625,-11.30223046875,-3.7789921875,-8.9171015625,-6.803203125,-2.6489140625,-9.63087890625,-6.93043359375,-8.16655859375,-5.1891015625,-4.128890625,-4.59130078125,13.6648203125,3.0766640625,4.6962578125,3.23425390625
-7.33163671875,-9.4039375,-14.20377734375,-15.80994921875,-10.620734375,-8.7510859375,-21.57162890625,-23.25483984375,-13.1968828125,-4.3654375,-8.29536328125,-20.58196484375,-21.94276171875,-8.649421875,-3.73819140625,-13.65123046875,-5.6719921875,-10.2181015625,-9.001203125,-6.5069140625,-11.07587890625,-7.37243359375,-8.82355859375,-6.9001015625,-5.422890625,-3.51630078125,13.2688203125,2.8446640625,3.9072578125,3.27025390625
-7.92063671875,-10.1799375,-14.85677734375,-15.87194921875,-10.724734375,-10.4910859375,-20.04762890625,-24.16983984375,-12.7728828125,-6.2644375,-11.75536328125,-23.50096484375,-19.25276171875,-8.147421875,-8.49219140625,-15.61623046875,-6.4049921875,-9.6171015625,-10.405203125,-9.7279140625,-11.08887890625,-5.22543359375,-6.53055859375,-6.3111015625,-4.815890625,-1.91830078125,16.2378203125,6.3266640625,6.4682578125,5.47725390625
-7.93663671875,-9.5729375,-14.23877734375,-14.91994921875,-10.786734375,-11.8620859375,-18.93462890625,-23.91583984375,-11.5108828125,-8.1954375,-14.71936328125,-24.64396484375,-17.10876171875,-7.834421875,-12.82919140625,-16.52723046875,-5.6139921875,-7.3931015625,-10.496203125,-11.1839140625,-9.55787890625,-1.12643359375,-1.86455859375,-3.4051015625,-2.367890625,-0.37430078125,21.8958203125,12.6636640625,11.6822578125,9.03725390625
-7.84663671875,-8.2699375,-12.85677734375,-13.60294921875,-10.920734375,-12.3560859375,-18.04862890625,-22.63183984375,-10.1268828125,-9.3634375,-16.09036328125,-23.79396484375,-16.20476171875,-7.800421875,-15.23819140625,-16.00223046875,-3.6109921875,-4.6571015625,-9.264203125,-10.3959140625,-7.01187890625,3.36356640625,3.57044140625,0.9638984375,1.140109375,0.46569921875,28.5238203125,19.7536640625,17.7812578125,12.49525390625
-8.16663671875,-7.2759375,-11.56077734375,-12.71394921875,-11.197734375,-11.7820859375,-17.01362890625,-20.85783984375,-9.4518828125,-9.2674375,-15.34936328125,-21.41996484375,-16.69376171875,-8.087421875,-14.91919140625,-14.07423046875,-1.2149921875,-2.8681015625,-7.282203125,-7.7549140625,-4.44187890625,6.36956640625,7.73444140625,5.3358984375,4.449109375,0.0736992187499999,33.9198203125,25.0636640625,22.5362578125,14.28025390625
-9.15763671875,-7.3749375,-11.10477734375,-12.77694921875,-11.588734375,-10.3390859375,-15.57262890625,-19.22683984375,-10.0178828125,-7.9714375,-12.81336328125,-18.42796484375,-18.16776171875,-8.727421875,-12.17819140625,-11.23523046875,0.6350078125,-3.1501015625,-5.523203125,-4.4079140625,-2.92487890625,6.50056640625,8.96144140625,8.1298984375,6.276109375,-1.75830078125,36.1688203125,26.6236640625,24.1052578125,13.35525390625
-10.65663671875,-8.7279375,-11.79077734375,-13.80394921875,-11.973734375,-8.5260859375,-13.88162890625,-18.25083984375,-11.8078828125,-6.0944375,-9.53036328125,-15.80596484375,-19.95276171875,-9.775421875,-8.31819140625,-8.38323046875,1.2810078125,-5.7371015625,-4.964203125,-1.7999140625,-3.17687890625,3.43756640625,6.64544140625,8.2228984375,5.832109375,-4.75230078125,34.3858203125,23.8226640625,21.8002578125,9.72125390625
-12.15363671875,-10.8159375,-13.34177734375,-15.34294921875,-12.213734375,-6.9470859375,-12.46262890625,-18.18883984375,-14.2738828125,-4.5204375,-6.83636328125,-14.29896484375,-21.51976171875,-11.265421875,-5.06419140625,-6.56123046875,0.5910078125,-9.8491015625,-6.133203125,-1.0649140625,-5.21487890625,-1.94743359375,1.50244140625,5.3848984375,3.170109375,-8.11230078125,29.0878203125,17.6566640625,16.4122578125,4.51125390625
-13.03663671875,-12.7119375,-15.05777734375,-16.74294921875,-12.210734375,-6.0680859375,-11.77062890625,-18.95783984375,-16.5818828125,-3.9494375,-5.75936328125,-14.19396484375,-22.71576171875,-13.019421875,-3.76119140625,-6.49023046875,-1.0169921875,-14.0421015625,-8.817203125,-2.5299140625,-8.31387890625,-7.98143359375,-4.71955859375,0.4238984375,-0.794890625,-10.72330078125,22.0378203125,10.3016640625,9.9032578125,-0.40974609375
-12.84963671875,-13.4869375,-16.08977734375,-17.42794921875,-11.889734375,-5.9760859375,-11.77662890625,-20.08783984375,-17.9088828125,-4.4834375,-6.50836328125,-15.22296484375,-23.65476171875,-14.467421875,-4.70019140625,-8.09923046875,-2.7339921875,-16.8171015625,-12.038203125,-5.4879140625,-11.24387890625,-12.82843359375,-9.89355859375,-5.0101015625,-4.571890625,-11.51230078125,15.6338203125,4.2376640625,4.6252578125,-3.16174609375
-11.39663671875,-12.5109375,-15.70477734375,-17.04394921875,-11.086734375,-6.2030859375,-11.95262890625,-20.85183984375,-17.6258828125,-5.4504375,-8.24236328125,-16.59296484375,-24.41976171875,-14.715421875,-6.85619140625,-10.39023046875,-3.6359921875,-17.1551015625,-14.307203125,-8.3429140625,-12.67487890625,-15.11243359375,-12.21755859375,-8.8731015625,-6.551890625,-9.82930078125,12.1178203125,1.3376640625,2.4452578125,-2.55274609375
-8.73963671875,-9.6139375,-13.50477734375,-15.47294921875,-9.483734375,-5.8330859375,-11.55162890625,-20.55083984375,-15.4158828125,-5.6104375,-9.34536328125,-17.21196484375,-24.83876171875,-12.886421875,-8.25619140625,-11.75323046875,-3.0099921875,-14.8211015625,-14.133203125,-9.1529140625,-11.63687890625,-14.32143359375,-10.76855859375,-9.3701015625,-5.517890625,-5.70830078125,12.8588203125,2.2486640625,4.1032578125,1.50925390625
-5.20463671875,-5.1929375,-9.62877734375,-12.86494921875,-6.756734375,-3.9640859375,-9.90962890625,-18.81783984375,-11.4118828125,-3.7434375,-8.17936328125,-16.13596484375,-24.56976171875,-8.564421875,-6.91119140625,-10.65223046875,-0.6379921875,-10.4381015625,-10.666203125,-6.4499140625,-7.93987890625,-10.92343359375,-5.80955859375,-5.6391015625,-1.149890625,0.0446992187499999,17.8868203125,6.2156640625,8.9702578125,7.98925390625
-1.39763671875,-0.1999375,-4.83577734375,-9.67594921875,-2.886734375,-0.2990859375,-6.73562890625,-15.79983984375,-6.3288828125,0.6375625,-3.99936328125,-13.05396484375,-23.43376171875,-2.147421875,-1.90819140625,-6.41223046875,3.0690078125,-5.3171015625,-4.215203125,-0.0599140625,-2.37087890625,-6.18143359375,1.23344140625,1.7398984375,5.691109375,6.00369921875,25.8178203125,11.4176640625,15.2822578125,15.05725390625
