"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-8.0103984375,-18.684734375,-8.99321875,-1.13240625,-12.58673828125,-16.27597265625,-13.50087890625,-28.80953125,-5.68819921875,-11.289640625,-15.72696875,-19.38005859375,-3.42177734375,-12.878875,-12.3182734375,-18.961984375,-16.9765390625,-14.14315625,-15.5127109375,-15.7018359375,-18.9465390625,-15.19921875,-15.99544921875,-13.9071796875,-17.13268359375,-12.3050859375,-13.03909765625,-9.12241796875,-7.86333203125,-8.87411328125
-6.5943984375,-16.111734375,-7.50021875,0.513593749999999,-10.92273828125,-14.63297265625,-13.69187890625,-25.03053125,-4.73919921875,-9.331640625,-15.27396875,-18.05905859375,-0.820777343750001,-11.057875,-10.7662734375,-16.965984375,-16.4665390625,-11.49715625,-13.0557109375,-14.2138359375,-16.3005390625,-12.30821875,-13.93444921875,-11.9991796875,-14.67868359375,-10.3470859375,-10.05109765625,-5.96941796875,-4.73733203125,-6.43011328125
-5.2243984375,-14.452734375,-6.60021875,1.24359375,-10.02873828125,-13.53197265625,-14.34587890625,-20.17553125,-4.49119921875,-8.297640625,-15.41296875,-18.09205859375,0.644222656249999,-10.311875,-10.4222734375,-16.299984375,-15.7665390625,-9.35415625,-11.9887109375,-13.9228359375,-14.6945390625,-9.82121875,-12.74244921875,-11.3871796875,-13.54168359375,-9.1080859375,-8.76909765625,-4.48941796875,-3.33433203125,-5.52511328125
-4.2123984375,-13.909734375,-6.36621875,0.974593749999999,-9.87673828125,-12.98197265625,-15.18787890625,-14.63553125,-4.93319921875,-8.191640625,-16.02296875,-19.30605859375,0.61122265625,-10.745875,-11.2322734375,-16.917984375,-14.9595390625,-8.09515625,-12.3967109375,-14.8258359375,-14.2385390625,-7.97621875,-12.65044921875,-12.0811796875,-13.76168359375,-8.6250859375,-9.25609765625,-4.85141796875,-3.69433203125,-6.19911328125
-3.9473984375,-14.482734375,-6.74821875,-0.0824062500000009,-10.19273828125,-12.86197265625,-15.82887890625,-9.40053125,-5.78319921875,-8.728640625,-16.81496875,-21.13105859375,-0.97877734375,-12.122875,-12.7432734375,-18.397984375,-14.2615390625,-8.04915625,-13.9127109375,-16.5248359375,-14.7945390625,-6.97121875,-13.63644921875,-13.6661796875,-14.97668359375,-8.7390859375,-11.00909765625,-6.68641796875,-5.30933203125,-7.98011328125
-4.6593984375,-15.959734375,-7.65521875,-1.52340625,-10.59873828125,-12.99197265625,-16.02287890625,-5.64853125,-6.63119921875,-9.483640625,-17.50196875,-22.91105859375,-3.77177734375,-13.955875,-14.3212734375,-20.199984375,-13.9745390625,-9.30915625,-15.8757109375,-18.4118359375,-16.0825390625,-6.90421875,-15.39944921875,-15.4931796875,-16.61368359375,-9.1900859375,-13.18909765625,-9.25441796875,-7.36433203125,-10.10311328125
-6.2443984375,-17.939734375,-9.01121875,-2.95940625,-10.76173828125,-13.20597265625,-15.75587890625,-4.32153125,-7.15619921875,-10.063640625,-17.91796875,-24.13405859375,-7.06977734375,-15.683875,-15.4022734375,-21.849984375,-14.4095390625,-11.59015625,-17.5547109375,-19.8918359375,-17.7395390625,-7.72021875,-17.43044921875,-16.9271796875,-18.08168359375,-9.7280859375,-14.94009765625,-11.70141796875,-9.04833203125,-11.80111328125
-8.2673984375,-19.943734375,-10.73321875,-4.18340625,-10.52773828125,-13.40297265625,-15.15887890625,-5.89853125,-7.28919921875,-10.245640625,-18.05396875,-24.55205859375,-10.08577734375,-16.861875,-15.7022734375,-23.033984375,-15.7525390625,-14.24615625,-18.3777109375,-20.5788359375,-19.3645390625,-9.19721875,-19.15744921875,-17.5491796875,-18.95668359375,-10.1980859375,-15.67809765625,-13.33141796875,-9.81333203125,-12.57611328125
-10.1773984375,-21.608734375,-12.66521875,-5.22840625,-10.00773828125,-13.60997265625,-14.44687890625,-10.32253125,-7.23019921875,-10.072640625,-18.06896875,-24.27305859375,-12.26277734375,-17.312875,-15.3342734375,-23.673984375,-17.9765390625,-16.47215625,-18.1237109375,-20.4248359375,-20.6235390625,-10.95321875,-20.11844921875,-17.2791796875,-19.10768359375,-10.5810859375,-15.26609765625,-13.78041796875,-9.52033203125,-12.33611328125
-11.6043984375,-22.838734375,-14.54921875,-6.29940625,-9.56573828125,-14.00897265625,-13.96287890625,-16.95153125,-7.34919921875,-9.861640625,-18.28696875,-23.78205859375,-13.47577734375,-17.169875,-14.7712734375,-23.956984375,-20.8425390625,-17.61515625,-16.9867109375,-19.7438359375,-21.3965390625,-12.50121875,-20.10844921875,-16.3691796875,-18.73168359375,-10.9820859375,-13.99609765625,-13.06141796875,-8.40633203125,-11.38011328125
-12.5573984375,-23.794734375,-16.05721875,-7.62240625,-9.64973828125,-14.87697265625,-14.20287890625,-24.47853125,-8.01519921875,-10.086640625,-19.10896875,-23.81205859375,-13.98977734375,-16.788875,-14.6342734375,-24.271984375,-24.0015390625,-17.43915625,-15.4877109375,-19.0808359375,-21.8675390625,-13.36121875,-19.22344921875,-15.2661796875,-18.25068359375,-11.5510859375,-12.41609765625,-11.46141796875,-6.91333203125,-10.20911328125
