"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-1.22377734375,4.10338671875,5.29589453125,11.9598671875,-0.6399921875,-4.03605859375,-5.77745703125,9.05084765625,7.964015625,-2.36697265625,-4.08691796875,-2.0629765625,11.60310546875,-0.00888281249999956,-5.26146484375,-2.6554609375,3.8940546875,1.57387109375,-5.3288125,-9.22156640625,-3.26548828125,0.48877734375,-6.4192421875,-14.06975390625,-6.2546875,4.57463671875,-9.8177421875,2.42762890625,-2.57915234375,-4.65734375
-7.94377734375,-1.65761328125,0.721894531250001,5.1608671875,-10.7849921875,-10.86005859375,-11.48445703125,3.96984765625,-2.439984375,-11.13497265625,-10.13091796875,-5.5989765625,2.61810546875,-8.1578828125,-13.17546484375,-9.7574609375,-1.2039453125,-5.93412890625,-14.7058125,-18.23856640625,-9.43248828125,-4.76222265625,-15.3992421875,-24.29275390625,-14.3146875,0.35363671875,-19.4737421875,-5.38937109375,-10.36115234375,-12.20534375
-12.96777734375,-6.52261328125,-3.28410546875,-0.3841328125,-17.5789921875,-15.47605859375,-15.15045703125,0.32984765625,-9.822984375,-17.32897265625,-14.47191796875,-9.0039765625,-4.25489453125,-14.5138828125,-19.01346484375,-14.9844609375,-6.4619453125,-11.80412890625,-21.7688125,-24.93656640625,-14.17848828125,-9.01122265625,-22.1812421875,-31.81075390625,-20.3876875,-3.30636328125,-26.5297421875,-11.60237109375,-16.75915234375,-18.48234375
-15.94477734375,-10.01861328125,-6.39310546875,-4.1681328125,-20.4219921875,-17.55805859375,-16.41545703125,-1.93015234375,-13.588984375,-20.46997265625,-16.74091796875,-11.8239765625,-8.73089453125,-18.6148828125,-22.32346484375,-17.8994609375,-11.3259453125,-15.58812890625,-26.0078125,-28.74256640625,-17.17148828125,-11.91922265625,-26.1802421875,-35.94575390625,-23.9726875,-6.22536328125,-30.3237421875,-15.70037109375,-21.13015234375,-22.90034375
-16.89477734375,-11.87761328125,-8.39810546875,-5.8771328125,-19.6999921875,-17.41505859375,-15.55345703125,-3.21415234375,-13.919984375,-20.79297265625,-17.03191796875,-13.5389765625,-11.08489453125,-20.4658828125,-23.21546484375,-18.5914609375,-14.9599453125,-17.20912890625,-27.5158125,-29.67556640625,-18.45548828125,-13.39322265625,-27.3592421875,-36.68275390625,-25.0446875,-8.33636328125,-30.8437421875,-17.51237109375,-23.07715234375,-25.08534375
-16.26977734375,-12.25661328125,-9.36810546875,-5.6011328125,-16.6859921875,-15.89105859375,-13.46745703125,-3.96315234375,-11.747984375,-19.19197265625,-15.92591796875,-13.9249765625,-11.91989453125,-20.5968828125,-22.37146484375,-17.7154609375,-16.6389453125,-17.05112890625,-26.9988125,-28.39656640625,-18.48148828125,-13.78222265625,-26.3342421875,-34.73775390625,-24.1106875,-9.74436328125,-28.8157421875,-17.38337109375,-22.77115234375,-25.19334375
-14.92577734375,-11.72761328125,-9.65710546875,-3.9481328125,-13.0539921875,-14.07405859375,-11.42845703125,-4.49415234375,-8.524984375,-16.91297265625,-14.33791796875,-13.2639765625,-11.81589453125,-19.9078828125,-20.81946484375,-16.3154609375,-16.1419453125,-15.90112890625,-25.5588125,-26.03556640625,-17.96948828125,-13.84522265625,-24.2312421875,-31.36775390625,-22.0926875,-10.71136328125,-25.5347421875,-16.15037109375,-21.04815234375,-24.00334375
-13.76077734375,-10.96161328125,-9.70110546875,-1.8451328125,-10.1899921875,-12.85805859375,-10.52445703125,-4.90515234375,-5.715984375,-15.04397265625,-13.15191796875,-12.2259765625,-11.06189453125,-19.2688828125,-19.49946484375,-15.4024609375,-13.9089453125,-14.64812890625,-24.2458125,-23.74756640625,-17.59848828125,-14.37122265625,-22.2372421875,-27.89575390625,-19.9706875,-11.53736328125,-22.3357421875,-14.77137109375,-19.02515234375,-22.56634375
-13.17077734375,-10.31461328125,-9.73010546875,-0.0721328125000002,-8.6039921875,-12.52305859375,-11.08545703125,-5.06015234375,-4.167984375,-14.00297265625,-12.78591796875,-11.4679765625,-9.56389453125,-19.0378828125,-18.81046484375,-15.4664609375,-10.9039453125,-13.81312890625,-23.5288125,-22.18256640625,-17.64748828125,-15.58822265625,-20.9932421875,-25.10675390625,-18.3166875,-12.34436328125,-19.9277421875,-13.73737109375,-17.42015234375,-21.53634375
-12.82277734375,-9.64861328125,-9.65010546875,1.1188671875,-7.8129921875,-12.61805859375,-12.50345703125,-4.75815234375,-3.764984375,-13.37997265625,-12.99191796875,-11.2259765625,-6.97489453125,-18.8258828125,-18.44246484375,-16.2204609375,-8.3339453125,-13.22512890625,-23.0348125,-21.20456640625,-17.85648828125,-16.82022265625,-20.2312421875,-22.89275390625,-17.0076875,-12.94836328125,-18.0197421875,-12.71537109375,-16.05215234375,-20.68134375
-12.04577734375,-8.59561328125,-9.19810546875,1.9698671875,-6.8329921875,-12.33905859375,-13.66245703125,-4.04015234375,-3.667984375,-12.33297265625,-13.10591796875,-11.2289765625,-3.05589453125,-17.7618828125,-17.69446484375,-16.8374609375,-7.3279453125,-12.16512890625,-21.8308125,-20.10656640625,-17.65248828125,-16.80022265625,-18.9842421875,-20.46675390625,-15.4156875,-12.94436328125,-15.6117421875,-10.82037109375,-14.02915234375,-19.08334375
-10.50477734375,-7.04461328125,-8.28910546875,2.7678671875,-5.0059921875,-11.21005859375,-13.71345703125,-3.37115234375,-3.021984375,-10.33997265625,-12.63791796875,-11.0139765625,1.82710546875,-15.1948828125,-16.10746484375,-16.5744609375,-8.5579453125,-9.97512890625,-19.1488125,-18.23756640625,-16.62148828125,-14.55322265625,-16.3562421875,-17.07775390625,-12.9796875,-11.98336328125,-11.8207421875,-7.40937109375,-10.57315234375,-15.96434375
-8.57777734375,-5.43961328125,-7.23410546875,3.3978671875,-2.6119921875,-9.60205859375,-12.67045703125,-3.47715234375,-1.620984375,-7.77397265625,-11.77191796875,-10.4009765625,6.47310546875,-11.3598828125,-13.96846484375,-15.3704609375,-11.7999453125,-6.71112890625,-15.0968125,-15.60156640625,-14.86848828125,-10.25222265625,-12.3252421875,-12.74075390625,-9.7686875,-10.04736328125,-6.6997421875,-2.84837109375,-5.88715234375,-11.53334375
-7.16577734375,-4.60861328125,-6.63010546875,3.3088671875,-0.7999921875,-8.63705859375,-11.43445703125,-4.95715234375,-0.0899843749999998,-5.82097265625,-11.36091796875,-9.7549765625,9.23310546875,-7.4668828125,-12.26546484375,-13.9474609375,-15.7269453125,-3.30712890625,-10.7658125,-12.95256640625,-12.98248828125,-5.36422265625,-7.9452421875,-8.39975390625,-6.5646875,-7.52836328125,-1.4087421875,1.42162890625,-1.31815234375,-7.13534375
-7.09777734375,-5.26361328125,-6.97610546875,1.9668671875,-0.8539921875,-9.48605859375,-11.23845703125,-7.90415234375,0.562015625,-5.75597265625,-12.34391796875,-9.7589765625,8.91210546875,-5.0598828125,-12.06446484375,-13.3154609375,-18.2949453125,-1.07712890625,-7.6218125,-11.29656640625,-11.63248828125,-1.88522265625,-4.7652421875,-5.36575390625,-4.3906875,-5.02436328125,2.4212578125,3.65862890625,1.39284765625,-4.50034375
-8.51677734375,-7.52861328125,-8.26810546875,-0.5711328125,-3.2819921875,-12.50705859375,-12.82645703125,-11.70115234375,-0.305984375,-8.03497265625,-14.99291796875,-10.8739765625,5.57110546875,-5.0468828125,-13.72546484375,-14.0204609375,-17.7569453125,-0.86812890625,-6.5688125,-11.15456640625,-11.08748828125,-1.17022265625,-3.8282421875,-4.42775390625,-3.8076875,-3.02136328125,3.7012578125,2.95462890625,1.25684765625,-4.60934375
-10.66077734375,-10.77161328125,-9.91410546875,-3.4851328125,-7.3609921875,-16.82605859375,-15.86445703125,-15.11315234375,-2.451984375,-11.84797265625,-18.50791796875,-12.8489765625,0.58510546875,-7.0868828125,-16.51046484375,-15.6754609375,-13.7289453125,-2.46112890625,-7.3588125,-12.11856640625,-11.02748828125,-3.13022265625,-4.9832421875,-5.28475390625,-4.4906875,-1.68236328125,2.5862578125,-0.0783710937499995,-1.25715234375,-7.00534375
-12.24777734375,-13.81461328125,-11.02110546875,-5.6211328125,-11.4179921875,-20.63905859375,-18.97945703125,-16.75615234375,-4.804984375,-15.43497265625,-21.28291796875,-14.6809765625,-4.05789453125,-9.7228828125,-18.86446484375,-17.0864609375,-7.5409453125,-4.64912890625,-8.7178125,-13.02956640625,-10.73548828125,-6.33022265625,-6.9392421875,-6.66775390625,-5.3946875,-0.892363281250001,0.3832578125,-3.59137109375,-4.45115234375,-10.03534375
-12.22777734375,-15.41161328125,-10.89610546875,-6.1901328125,-13.6569921875,-22.08105859375,-20.42845703125,-15.77415234375,-6.054984375,-16.97397265625,-21.69691796875,-15.0849765625,-6.67589453125,-11.1718828125,-19.21346484375,-16.9024609375,-1.5619453125,-5.90912890625,-9.0848125,-12.62056640625,-9.53948828125,-8.82722265625,-8.0042421875,-7.06975390625,-5.3736875,-0.47036328125,-1.2337421875,-5.53237109375,-6.39015234375,-11.85834375
-10.34377734375,-14.82261328125,-9.43110546875,-5.2031328125,-13.0379921875,-20.16805859375,-19.04145703125,-12.33015234375,-5.365984375,-15.51797265625,-18.98691796875,-13.2029765625,-6.49289453125,-10.2818828125,-16.80046484375,-14.3764609375,2.0370546875,-5.23512890625,-7.4888125,-10.23556640625,-7.21848828125,-9.21322265625,-7.0312421875,-5.59475390625,-3.8596875,-0.35636328125,-1.1917421875,-4.78337109375,-5.98315234375,-11.49534375
-7.17177734375,-12.20661328125,-7.16910546875,-3.3691328125,-9.7769921875,-15.32505859375,-14.88745703125,-7.55315234375,-2.807984375,-11.46497265625,-13.71391796875,-9.1589765625,-3.75989453125,-7.1078828125,-12.11746484375,-9.8234609375,2.2720546875,-2.62912890625,-4.0768125,-6.21756640625,-4.16148828125,-7.25222265625,-4.0222421875,-2.44875390625,-1.1846875,-0.62736328125,0.4312578125,-1.68637109375,-3.52215234375,-9.30234375
-3.79677734375,-8.62461328125,-5.02810546875,-1.6561328125,-5.2489921875,-9.23605859375,-9.32045703125,-3.02815234375,0.673015625,-6.35197265625,-7.58391796875,-4.1149765625,0.45710546875,-2.8568828125,-6.70846484375,-4.5304609375,-0.3839453125,0.94087109375,-0.0408125000000013,-1.78056640625,-1.19748828125,-3.87422265625,-0.0982421875000004,1.17124609375,1.5893125,-1.37236328125,2.5282578125,2.22462890625,-0.43215234375,-6.64034375
-1.44877734375,-5.59761328125,-3.82310546875,-0.8521328125,-1.3449921875,-4.11205859375,-4.39445703125,-0.13115234375,3.692015625,-2.11997265625,-2.70591796875,0.231023437500001,4.65310546875,0.7351171875,-2.47646484375,-0.171460937499997,-4.3819453125,4.04687109375,2.9961875,1.53543359375,0.78451171875,-0.64222265625,3.1087578125,3.67824609375,3.2143125,-2.53336328125,3.6142578125,5.07262890625,1.54784765625,-5.04434375
-1.13877734375,-4.39361328125,-3.87210546875,-1.3281328125,0.3760078125,-1.72005859375,-1.93145703125,0.46384765625,5.026015625,-0.24697265625,-0.67891796875,2.4490234375,7.32510546875,2.2341171875,-0.832464843750001,1.9345390625,-7.8149453125,5.44387109375,3.7641875,2.54343359375,1.23951171875,0.982777343749999,4.2557578125,3.85324609375,2.8563125,-3.82636328125,2.6132578125,5.53162890625,1.24884765625,-5.38934375
-3.20477734375,-5.42161328125,-4.88210546875,-2.9841328125,-0.6459921875,-2.63505859375,-2.67145703125,-0.99615234375,4.136015625,-1.14297265625,-1.91991796875,2.0480234375,7.38610546875,1.1221171875,-2.11546484375,1.3545390625,-9.1489453125,4.58087109375,1.9221875,0.89743359375,0.16351171875,0.24877734375,2.8697578125,1.38024609375,0.456312500000001,-4.79536328125,-0.6397421875,3.36062890625,-1.40515234375,-7.50834375
-7.01477734375,-8.06161328125,-6.16010546875,-5.2791328125,-3.7959921875,-6.05105859375,-5.95045703125,-3.47215234375,1.368015625,-4.06497265625,-5.54991796875,-0.360976562499999,4.49810546875,-2.0538828125,-5.50946484375,-1.3694609375,-7.7719453125,1.75587109375,-1.8498125,-2.81456640625,-1.97048828125,-2.63622265625,-0.5382421875,-3.07975390625,-3.3036875,-5.00636328125,-5.3837421875,-0.61137109375,-5.48915234375,-10.40234375
-11.18277734375,-11.02861328125,-6.99310546875,-7.3981328125,-7.6409921875,-10.21305859375,-10.09845703125,-5.57315234375,-2.258984375,-7.53197265625,-9.86791796875,-3.4629765625,-0.76389453125,-6.0098828125,-9.47346484375,-5.0534609375,-4.1999453125,-2.09312890625,-6.2218125,-7.37756640625,-4.45748828125,-6.68922265625,-4.8082421875,-8.24475390625,-7.3606875,-4.26136328125,-10.3467421875,-4.98237109375,-9.63015234375,-12.89134375
-14.24977734375,-13.02861328125,-6.96010546875,-8.5091328125,-10.5799921875,-13.23305859375,-13.28645703125,-6.12115234375,-5.500984375,-9.99497265625,-13.11191796875,-5.8879765625,-7.01989453125,-9.3048828125,-12.41546484375,-8.3744609375,0.1480546875,-5.83112890625,-9.8078125,-11.45856640625,-6.62348828125,-10.63222265625,-8.6712421875,-12.77775390625,-10.7316875,-2.74936328125,-14.3307421875,-8.44037109375,-12.68115234375,-14.25634375
-15.28677734375,-13.27261328125,-6.02410546875,-8.0031328125,-11.4239921875,-13.80405859375,-14.26645703125,-4.54415234375,-7.320984375,-10.39597265625,-14.10391796875,-6.7179765625,-12.49489453125,-10.8468828125,-13.24946484375,-10.2944609375,3.5460546875,-8.51912890625,-11.6488125,-14.04356640625,-7.99148828125,-13.38722265625,-11.1852421875,-15.72775390625,-12.8226875,-0.997363281250001,-16.6017421875,-10.22337109375,-14.11915234375,-14.46234375
-14.06077734375,-11.62061328125,-4.40210546875,-5.6451328125,-9.6779921875,-11.54905859375,-12.63345703125,-0.95815234375,-7.101984375,-8.40097265625,-12.49291796875,-5.6439765625,-15.56589453125,-10.1648828125,-11.64046484375,-10.2684609375,4.6990546875,-9.61812890625,-11.4198125,-14.63456640625,-8.33448828125,-14.36422265625,-11.9232421875,-16.69875390625,-13.4706875,0.35863671875,-16.9687421875,-10.20637109375,-13.99915234375,-13.90934375
