"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-2.1440390625,-3.450484375,-5.91936328125,8.52315234375,-4.838765625,-7.8694375,-8.65840234375,-2.62805078125,-1.385046875,-10.1942265625,-10.69628125,-5.41227734375,1.680265625,-12.49451171875,-12.2314375,-13.405296875,-4.72054296875,-2.39993359375,-8.65365234375,-12.3840234375,-11.267171875,-1.85455078125,-8.929484375,-6.486359375,-7.337421875,-10.44274609375,-12.4287890625,-2.754265625,-8.9250390625,-2.23216015625
-0.9370390625,-2.100484375,-5.19136328125,7.16715234375,-1.786765625,-4.4734375,-3.61140234375,-3.05705078125,0.902953125,-7.0422265625,-8.08028125,-2.20227734375,-0.837734375,-9.33651171875,-8.2894375,-10.537296875,-3.69354296875,-1.44593359375,-4.27165234375,-7.9410234375,-7.030171875,-1.37655078125,-5.311484375,-1.957359375,-3.860421875,-9.12774609375,-7.9017890625,0.0117343750000005,-5.0520390625,0.17583984375
-0.3070390625,-1.045484375,-4.49736328125,6.38915234375,-0.684765625,-2.5824375,-0.31340234375,-3.43405078125,2.763953125,-5.0682265625,-6.32328125,-0.41927734375,-2.034734375,-6.74751171875,-5.3434375,-8.366296875,-2.77554296875,-0.32693359375,-0.92165234375,-4.4390234375,-3.924171875,-1.97255078125,-2.605484375,1.531640625,-1.076421875,-8.18174609375,-4.6137890625,1.093734375,-3.0480390625,1.56783984375
-0.0200390625000001,-0.350484375,-3.84436328125,6.16315234375,-1.557765625,-2.1874375,1.25559765625,-3.74905078125,4.144953125,-4.2312265625,-5.38028125,0.15172265625,-2.023734375,-4.75651171875,-3.4614375,-6.695296875,-1.97954296875,1.03406640625,1.29934765625,-1.9090234375,-1.821171875,-3.33755078125,-0.780484375,3.854640625,0.936578125,-7.33874609375,-2.6957890625,0.612734375,-2.8180390625,1.96783984375
0.3259609375,-0.00448437499999987,-3.22436328125,6.23215234375,-3.769765625,-2.7944375,1.64659765625,-3.89005078125,5.030953125,-4.1202265625,-4.92728125,0.21872265625,-1.413734375,-3.29251171875,-2.4244375,-5.120296875,-1.22354296875,2.61406640625,2.56834765625,-0.1480234375,-0.248171875,-4.72955078125,0.447515625,5.117640625,2.241578125,-6.16474609375,-1.9527890625,-0.667265625,-3.6240390625,1.74683984375
0.9809609375,0.0835156250000002,-2.61236328125,6.23415234375,-6.348765625,-3.7124375,1.60259765625,-3.63105078125,5.384953125,-4.2232265625,-4.57628125,0.55472265625,-0.986734375,-2.31651171875,-1.9014375,-3.334296875,-0.34354296875,4.20906640625,3.17734765625,1.0679765625,1.278828125,-5.38755078125,1.382515625,5.499640625,2.911578125,-4.29874609375,-2.0617890625,-1.716265625,-4.5000390625,1.41883984375
1.8569609375,0.0845156250000001,-1.96136328125,5.90415234375,-8.381765625,-4.3314375,1.74259765625,-2.74105078125,5.183953125,-4.1802265625,-4.07428125,1.62372265625,-1.328734375,-1.86851171875,-1.6204375,-1.328296875,0.834457031249999,5.43406640625,3.37934765625,1.8449765625,3.003828125,-4.94555078125,2.137515625,5.128640625,2.942578125,-1.61474609375,-2.7857890625,-1.760265625,-4.7420390625,1.36083984375
2.6049609375,0.215515625,-1.21036328125,5.22415234375,-9.312765625,-4.2974375,2.36859765625,-1.15405078125,4.496953125,-3.8932265625,-3.37828125,3.44272265625,-2.596734375,-2.02051171875,-1.4574375,0.637703124999999,2.39245703125,5.83506640625,3.31234765625,2.1739765625,4.875828125,-3.62555078125,2.566515625,4.062640625,2.278578125,1.73525390625,-4.0847890625,-0.681265625,-4.2510390625,1.59483984375
2.8529609375,0.624515625,-0.32636328125,4.41815234375,-9.040765625,-3.5684375,3.41159765625,0.91794921875,3.513953125,-3.4702265625,-2.60328125,5.65772265625,-4.546734375,-2.77851171875,-1.4154375,2.220703125,4.21545703125,5.08906640625,3.00134765625,2.0359765625,6.652828125,-2.14255078125,2.352515625,2.363640625,0.916578125000001,5.33825390625,-6.0727890625,0.907734375,-3.5770390625,1.71783984375
2.4339609375,1.296515625,0.66463671875,3.79115234375,-7.824765625,-2.3444375,4.49759765625,3.01994921875,2.498953125,-3.0762265625,-1.91228125,7.76172265625,-6.704734375,-3.99051171875,-1.5254375,3.196703125,5.93345703125,3.19606640625,2.43734765625,1.5179765625,8.056828125,-1.34355078125,1.238515625,0.206640625,-0.978421875,8.58825390625,-8.8417890625,1.957734375,-3.6370390625,1.05283984375
1.4809609375,2.052515625,1.67363671875,3.55715234375,-6.076765625,-0.9264375,5.12259765625,4.62394921875,1.737953125,-2.7662265625,-1.41728125,9.31772265625,-8.571734375,-5.30751171875,-1.7364375,3.567703125,6.98745703125,0.60006640625,1.67334765625,0.8579765625,8.917828125,-1.74455078125,-0.732484375,-2.058359375,-3.028421875,10.83225390625,-12.2577890625,1.531734375,-5.2100390625,-1.01216015625
0.3559609375,2.644515625,2.55163671875,3.75215234375,-4.173765625,0.412562499999999,4.89059765625,5.31994921875,1.476953125,-2.4552265625,-1.15728125,10.07472265625,-9.733734375,-6.26151171875,-1.8954375,3.497703125,6.84345703125,-1.87193359375,0.87334765625,0.3549765625,9.213828125,-3.21755078125,-3.130484375,-3.971359375,-4.742421875,11.57325390625,-15.8927890625,-0.700265625,-8.5010390625,-4.65216015625
-0.5440390625,2.861515625,3.07163671875,4.25415234375,-2.400765625,1.4575625,3.70959765625,4.96594921875,1.836953125,-2.0302265625,-1.17728125,9.93772265625,-9.908734375,-6.46951171875,-1.8764375,3.127703125,5.28345703125,-3.29193359375,0.22834765625,0.1709765625,8.993828125,-5.05655078125,-5.311484375,-5.147359375,-5.729421875,10.65525390625,-19.1527890625,-4.309265625,-13.0060390625,-9.42416015625
-0.9760390625,2.595515625,2.95563671875,4.86215234375,-0.993765625,2.0165625,1.84759765625,3.70294921875,2.727953125,-1.5232265625,-1.60028125,8.88672265625,-8.972734375,-5.86551171875,-1.7364375,2.416703125,2.60545703125,-3.03593359375,-0.18365234375,0.1729765625,8.256828125,-6.36255078125,-6.739484375,-5.485359375,-5.896421875,8.33125390625,-21.5297890625,-8.344265625,-17.7400390625,-14.36816015625
-0.9410390625,1.877515625,2.00563671875,5.40115234375,-0.183765624999999,1.9265625,-0.18640234375,1.85194921875,3.859953125,-1.1722265625,-2.60428125,6.94972265625,-6.980734375,-4.77551171875,-1.7694375,1.154703125,-0.423542968750001,-1.10393359375,-0.47065234375,-0.0360234374999999,6.931828125,-6.48455078125,-7.240484375,-5.233359375,-5.493421875,5.18825390625,-22.7887890625,-11.773265625,-21.6490390625,-18.34516015625
-0.6450390625,0.863515625,0.27063671875,5.79815234375,-0.182765625,1.1025625,-1.91440234375,-0.25505078125,4.859953125,-1.3142265625,-4.31428125,4.25872265625,-4.199734375,-3.77551171875,-2.3894375,-0.870296875000001,-2.89254296875,1.85306640625,-0.88465234375,-0.9250234375,4.936828125,-5.26055078125,-7.030484375,-4.878359375,-4.990421875,1.92225390625,-23.0117890625,-13.880265625,-24.0140390625,-20.46316015625
-0.3840390625,-0.246484375,-1.93136328125,6.10115234375,-1.151765625,-0.451437500000001,-3.19440234375,-2.42405078125,5.432953125,-2.2272265625,-6.72428125,1.04972265625,-1.115734375,-3.41851171875,-3.9624375,-3.729296875,-4.18354296875,4.80506640625,-1.70165234375,-2.8160234375,2.244828125,-2.98055078125,-6.553484375,-4.939359375,-4.914421875,-0.97774609375,-22.5367890625,-14.483265625,-24.6780390625,-20.44116015625
